date,equity,shares_value,cash_pool
2003-10-15,1330.0,1000.0,330.0
2003-10-16,1327.1188227710704,997.1188227710703,330.0
2003-10-17,1492.4998879949126,1132.4998879949126,360.0
2003-10-20,1505.8368585576302,1145.8368585576302,360.0
2003-10-21,1502.4862147845129,1142.4862147845129,360.0
2003-10-22,1476.0309117307227,1116.0309117307227,360.0
2003-10-23,1475.8638972206263,1115.8638972206263,360.0
2003-10-24,1478.6036139906244,1118.6036139906244,360.0
2003-10-27,1483.4285516216876,1123.4285516216876,360.0
2003-10-28,1497.8453517647542,1137.8453517647542,360.0
2003-10-29,1501.1015084453509,1141.1015084453509,360.0
2003-10-30,1506.0158209446345,1146.0158209446345,360.0
2003-10-31,1506.7575396013922,1146.7575396013922,360.0
2003-11-03,1709.0843153840785,1319.0843153840785,390.0
2003-11-04,1703.2619602846146,1313.2619602846146,390.0
2003-11-05,1707.4150868009256,1317.4150868009256,390.0
2003-11-06,1721.4347274279396,1331.4347274279396,390.0
2003-11-07,1692.1362969220547,1302.1362969220547,390.0
2003-11-10,1678.00184620882,1288.00184620882,390.0
2003-11-11,1678.419214977913,1288.419214977913,390.0
2003-11-12,1683.3538482873917,1293.3538482873917,390.0
2003-11-13,1677.9627995756446,1287.9627995756446,390.0
2003-11-14,1671.6884494797655,1281.6884494797655,390.0
2003-11-17,1856.6043529896763,1436.6043529896763,420.0
2003-11-18,1826.3187473721175,1406.3187473721175,420.0
2003-11-19,1841.7290458404113,1421.7290458404113,420.0
2003-11-20,1829.0742738593995,1409.0742738593995,420.0
2003-11-21,1834.0444422877044,1414.0444422877044,420.0
2003-11-24,1869.161211056331,1449.161211056331,420.0
2003-11-25,1867.362551126592,1447.362551126592,420.0
2003-11-26,1864.9050790187478,1444.9050790187478,420.0
2003-11-28,1862.2213011541937,1442.2213011541937,420.0
2003-12-01,1882.0616923348632,1462.0616923348632,420.0
2003-12-02,1869.8944215843098,1449.8944215843098,420.0
2003-12-03,2051.505842265212,1601.5058422652116,450.0
2003-12-04,2072.0582356699642,1622.0582356699645,450.0
2003-12-05,2050.311380731721,1600.3113807317209,450.0
2003-12-08,2053.6761009389193,1603.6761009389195,450.0
2003-12-09,2053.326472669324,1603.3264726693244,450.0
2003-12-10,2056.3668029447745,1606.3668029447742,450.0
2003-12-11,2083.1124216196613,1633.1124216196615,450.0
2003-12-12,2082.8092622840245,1632.8092622840245,450.0
2003-12-15,2074.6556046087208,1624.6556046087205,450.0
2003-12-16,2099.0260317059647,1649.0260317059644,450.0
2003-12-17,2284.5830855427603,1804.58308554276,480.0
2003-12-18,2312.302820170703,1832.3028201707032,480.0
2003-12-19,2315.295973779518,1835.2959737795181,480.0
2003-12-22,2317.606203452373,1837.606203452373,480.0
2003-12-23,2306.200071519871,1826.2000715198708,480.0
2003-12-24,2284.761294287105,1804.761294287105,480.0
2003-12-26,2289.8104042711057,1809.8104042711059,480.0
2003-12-29,2312.916803075588,1832.916803075588,480.0
2003-12-30,2292.5199432812333,1812.5199432812333,480.0
2003-12-31,2298.354510886058,1818.3545108860583,480.0
2004-01-02,2290.951737241211,1810.9517372412113,480.0
2004-01-05,2474.6475706952606,1964.6475706952606,510.0
2004-01-06,2484.8589513566576,1974.8589513566578,510.0
2004-01-07,2495.9919566214885,1985.9919566214887,510.0
2004-01-08,2487.20579264823,1977.2057926482298,510.0
2004-01-09,2462.2781579253533,1952.2781579253533,510.0
2004-01-12,2480.4018655449127,1970.4018655449129,510.0
2004-01-13,2461.0863043200793,1951.0863043200793,510.0
2004-01-14,2506.0163702293885,1996.0163702293885,510.0
2004-01-15,2520.716889220712,2010.7168892207121,510.0
2004-01-16,2532.7189123148737,2022.7189123148735,510.0
2004-01-20,2521.441436051713,2011.4414360517133,510.0
2004-01-21,2550.3224014600446,2040.3224014600444,510.0
2004-01-22,2536.8635199442806,2026.8635199442806,510.0
2004-01-23,2557.0162958171686,2047.0162958171688,510.0
2004-01-26,2584.0406629923173,2074.0406629923173,510.0
2004-01-27,2553.0429684794713,2043.0429684794713,510.0
2004-01-28,2560.6274677800825,2050.6274677800825,510.0
2004-01-29,2568.3433953486533,2058.3433953486533,510.0
2004-01-30,2558.593191611007,2048.593191611007,510.0
2004-02-02,2587.024161291857,2077.024161291857,510.0
2004-02-03,2762.320142687812,2222.320142687812,540.0
2004-02-04,2740.8537883862755,2200.8537883862755,540.0
2004-02-05,2754.242819833098,2214.242819833098,540.0
2004-02-06,2750.800725979992,2210.800725979992,540.0
2004-02-09,2763.4343338642448,2223.4343338642448,540.0
2004-02-10,2775.491993314375,2235.491993314375,540.0
2004-02-11,2771.399585574303,2231.399585574303,540.0
2004-02-12,2770.76575271331,2230.76575271331,540.0
2004-02-13,2764.7773309454005,2224.7773309454005,540.0
2004-02-17,2946.0157346950314,2376.0157346950314,570.0
2004-02-18,2958.515885147945,2388.515885147945,570.0
2004-02-19,2958.8098445445103,2388.8098445445103,570.0
2004-02-20,2965.9000184432434,2395.9000184432434,570.0
2004-02-23,2958.241734614833,2388.241734614833,570.0
2004-02-24,2942.4659287057693,2372.4659287057693,570.0
2004-02-25,2964.974131549828,2394.974131549828,570.0
2004-02-26,2980.6083560336856,2410.6083560336856,570.0
2004-02-27,2966.4847289208283,2396.4847289208283,570.0
2004-03-01,2994.4083592945485,2424.4083592945485,570.0
2004-03-02,2992.1140313172195,2422.1140313172195,570.0
2004-03-03,3170.5588979316653,2570.5588979316653,600.0
2004-03-04,3164.1484638812335,2564.1484638812335,600.0
2004-03-05,3150.0040805492154,2550.0040805492154,600.0
2004-03-08,3111.268317369776,2511.268317369776,600.0
2004-03-09,3114.5067986849535,2514.5067986849535,600.0
2004-03-10,3071.782171946864,2471.782171946864,600.0
2004-03-11,3026.4626936033833,2426.4626936033833,600.0
2004-03-12,3088.952658137331,2488.952658137331,600.0
2004-03-15,3057.7040668082723,2457.7040668082723,600.0
2004-03-16,3070.744759644829,2470.744759644829,600.0
2004-03-17,3289.6148379650576,2809.6148379650576,480.0
2004-03-18,3263.9193777482765,2783.9193777482765,480.0
2004-03-19,3235.3940894471475,2755.3940894471475,480.0
2004-03-22,3203.0663072289985,2723.0663072289985,480.0
2004-03-23,3195.49448770125,2715.49448770125,480.0
2004-03-24,3210.5818059655903,2730.5818059655903,480.0
2004-03-25,3229.7719421668653,2749.7719421668653,480.0
2004-03-26,3206.1128738866178,2726.1128738866178,480.0
2004-03-29,3224.9137245445904,2744.9137245445904,480.0
2004-03-30,3227.443813430091,2747.443813430091,480.0
2004-03-31,3238.610238410254,2758.610238410254,480.0
2004-04-01,3250.322960823057,2770.322960823057,480.0
2004-04-02,3285.7832096264465,2805.7832096264465,480.0
2004-04-05,3481.4141717373404,2971.4141717373404,510.0
2004-04-06,3464.8912717129383,2954.8912717129383,510.0
2004-04-07,3457.272729444285,2947.272729444285,510.0
2004-04-08,3484.911045728504,2974.911045728504,510.0
2004-04-12,3499.5435164834903,2989.5435164834903,510.0
2004-04-13,3474.502627656121,2964.502627656121,510.0
2004-04-14,3499.4537744346026,2989.4537744346026,510.0
2004-04-15,3487.0110719118125,2977.0110719118125,510.0
2004-04-16,3513.7336773963966,3003.7336773963966,510.0
2004-04-19,3693.9569691500474,3153.9569691500474,540.0
2004-04-20,3665.23612218698,3125.23612218698,540.0
2004-04-21,3694.069574574119,3154.069574574119,540.0
2004-04-22,3726.0646702771974,3186.0646702771974,540.0
2004-04-23,3741.141827435828,3201.141827435828,540.0
2004-04-26,3718.320757830122,3178.320757830122,540.0
2004-04-27,3721.808473077392,3181.808473077392,540.0
2004-04-28,3733.81783446516,3193.81783446516,540.0
2004-04-29,3698.8828814696294,3158.8828814696294,540.0
2004-04-30,3672.478995374394,3132.478995374394,540.0
2004-05-03,3889.999066966269,3319.999066966269,570.0
2004-05-04,3884.433204854112,3314.433204854112,570.0
2004-05-05,3909.1361211550175,3339.1361211550175,570.0
2004-05-06,3890.30462776495,3320.30462776495,570.0
2004-05-07,3851.4956805362317,3281.4956805362317,570.0
2004-05-10,3836.3165143149204,3266.3165143149204,570.0
2004-05-11,3852.3294360232667,3282.3294360232667,570.0
2004-05-12,3874.456285107944,3304.456285107944,570.0
2004-05-13,3875.876730751957,3305.876730751957,570.0
2004-05-14,3863.376114113445,3293.376114113445,570.0
2004-05-17,4034.537770646581,3584.537770646581,450.0
2004-05-18,4039.7034887021646,3589.7034887021646,450.0
2004-05-19,3989.7110404003015,3539.7110404003015,450.0
2004-05-20,3980.921337075189,3530.921337075189,450.0
2004-05-21,3994.021487512467,3544.021487512467,450.0
2004-05-24,4007.5691925559395,3557.5691925559395,450.0
2004-05-25,4059.072081183282,3609.072081183282,450.0
2004-05-26,4070.334902326897,3620.334902326897,450.0
2004-05-27,4055.0524993812332,3605.0524993812332,450.0
2004-05-28,4069.0790471906653,3619.0790471906653,450.0
2004-06-01,4075.6789631472384,3625.6789631472384,450.0
2004-06-02,4073.2103440542064,3623.2103440542064,450.0
2004-06-03,4223.596417932631,3743.5964179326306,480.0
2004-06-04,4223.676773378657,3743.6767733786573,480.0
2004-06-07,4263.5135164780095,3783.5135164780095,480.0
2004-06-08,4277.2410278678435,3797.2410278678435,480.0
2004-06-09,4274.2358144519885,3794.2358144519885,480.0
2004-06-10,4290.945201503455,3810.945201503455,480.0
2004-06-14,4304.924990439678,3824.924990439679,480.0
2004-06-15,4308.464014577644,3828.464014577644,480.0
2004-06-16,4321.210298554637,3841.210298554637,480.0
2004-06-17,4494.646412442674,3984.646412442674,510.0
2004-06-18,4473.687162169528,3963.687162169528,510.0
2004-06-21,4458.9772673361185,3948.977267336119,510.0
2004-06-22,4461.111548754,3951.111548754,510.0
2004-06-23,4501.016578587007,3991.016578587007,510.0
2004-06-24,4448.418848688467,3938.4188486884664,510.0
2004-06-25,4504.5938729816025,3994.593872981602,510.0
2004-06-28,4420.116146916245,3910.1161469162457,510.0
2004-06-29,4431.072098748173,3921.0720987481723,510.0
2004-06-30,4415.161950604528,3905.1619506045286,510.0
2004-07-01,4356.03774693472,3846.03774693472,510.0
2004-07-02,4328.303501493894,3818.3035014938937,510.0
2004-07-06,4305.974123104028,3795.9741231040275,510.0
2004-07-07,4301.386052529558,3791.3860525295577,510.0
2004-07-08,4265.628762632843,3755.628762632843,510.0
2004-07-09,4274.257516458981,3764.2575164589807,510.0
2004-07-12,4279.0886951253615,3769.088695125362,510.0
2004-07-13,4279.2098679855235,3769.2098679855235,510.0
2004-07-14,4282.584133957883,3772.584133957883,510.0
2004-07-15,4259.360088964289,3749.36008896429,510.0
2004-07-16,4221.490330261748,3711.490330261748,510.0
2004-07-19,4375.30270400831,3985.30270400831,390.0
2004-07-20,4440.4256033530655,4050.425603353066,390.0
2004-07-21,4398.112696936543,4008.1126969365437,390.0
2004-07-22,4391.764004781276,4001.7640047812756,390.0
2004-07-23,4377.243907960384,3987.2439079603837,390.0
2004-07-26,4393.91911085973,4003.9191108597297,390.0
2004-07-27,4435.419981787187,4045.4199817871868,390.0
2004-07-28,4437.229490111641,4047.229490111641,390.0
2004-07-29,4442.2732508564795,4052.2732508564795,390.0
2004-07-30,4471.1760826699065,4081.176082669906,390.0
2004-08-02,4479.027533300898,4089.027533300898,390.0
2004-08-03,4585.001371509291,4315.001371509291,270.0
2004-08-04,4579.042345738901,4309.042345738901,270.0
2004-08-05,4516.710829738099,4246.710829738099,270.0
2004-08-06,4455.0366655306,4185.0366655306,270.0
2004-08-09,4458.688424047519,4188.688424047519,270.0
2004-08-10,4520.763293028141,4250.763293028141,270.0
2004-08-11,4528.529936237531,4258.529936237531,270.0
2004-08-12,4503.690399841212,4233.690399841212,270.0
2004-08-13,4467.081257781322,4197.081257781322,270.0
2004-08-16,4475.458106077759,4205.458106077759,270.0
2004-08-17,4679.470076613497,4529.470076613497,150.0
2004-08-18,4719.040595355184,4569.040595355184,150.0
2004-08-19,4677.468714486696,4527.468714486696,150.0
2004-08-20,4714.520739694001,4564.520739694001,150.0
2004-08-23,4734.87128740096,4584.87128740096,150.0
2004-08-24,4735.4925115566975,4585.4925115566975,150.0
2004-08-25,4762.767115186201,4612.767115186201,150.0
2004-08-26,4772.66871251173,4622.66871251173,150.0
2004-08-27,4809.938329026438,4659.938329026438,150.0
2004-08-30,4784.487661360139,4634.487661360139,150.0
2004-08-31,4791.476637284795,4641.476637284795,150.0
2004-09-01,4778.988099886698,4628.988099886698,150.0
2004-09-02,4809.168267596672,4659.168267596672,150.0
2004-09-03,4970.4842002435225,4790.4842002435225,180.0
