date,rsi_sma,price,amount,cash_before,cash_after
2004-03-17,40.17369251754752,101.05948199961844,150.0,600.0,450.0
2004-05-17,38.65750600805812,102.01576950003681,150.0,570.0,420.0
2004-07-19,40.586738357309294,96.89093089016234,150.0,510.0,360.0
2004-08-03,43.86130421575841,97.61296676901121,150.0,390.0,240.0
2004-08-17,38.99077895723609,95.6780975238936,150.0,270.0,120.0
2005-04-04,40.99017655002002,98.21366244810405,150.0,540.0,390.0
2005-04-18,41.23809896355868,97.47724485624238,150.0,420.0,270.0
2005-10-17,34.03364017966958,96.76480012621987,150.0,570.0,420.0
2006-06-19,38.86025085320385,96.74019036603356,150.0,900.0,750.0
2007-03-05,39.249661944408935,114.31662643272307,150.0,1200.0,1050.0
2007-03-19,42.496295122627465,116.79421074126658,150.0,1080.0,930.0
2007-08-03,35.824618564996435,107.57001102881533,150.0,1200.0,1050.0
2007-08-17,39.72857070556034,109.16644900331349,150.0,1080.0,930.0
2007-11-19,38.49226720163159,101.03587666143488,150.0,1080.0,930.0
2007-12-03,44.72742639197823,105.46834661621654,150.0,960.0,810.0
2008-01-17,35.6887008735977,98.6719550558929,150.0,900.0,750.0
2008-02-04,43.4226987781376,98.37493117670623,150.0,780.0,630.0
2008-03-17,38.86741494369415,91.6441629223661,150.0,690.0,540.0
2008-06-17,41.44352190986189,99.53754138545295,150.0,720.0,570.0
2008-07-03,29.645984454584568,93.23919425795816,150.0,600.0,450.0
2008-07-17,31.399823096429618,91.26654093895158,150.0,480.0,330.0
2008-09-17,41.07327351345215,90.48560657014679,150.0,450.0,300.0
2008-10-03,40.44272327138708,86.78400422777851,150.0,330.0,180.0
2008-10-17,32.063876314109166,80.3558411514795,150.0,210.0,60.0
2009-03-03,32.08132707667029,66.6536301965747,150.0,300.0,150.0
2009-03-17,44.35554736086749,72.95952989360497,150.0,180.0,30.0
2010-02-03,40.508763744328505,87.75301547757506,150.0,600.0,450.0
2010-02-17,43.936548865018345,86.8022506636023,150.0,480.0,330.0
2010-05-17,43.01985243242733,88.93149055887869,150.0,510.0,360.0
2010-06-03,39.511647145664725,87.02186046678902,150.0,390.0,240.0
2011-03-17,43.65163613937089,97.34836983975819,150.0,750.0,600.0
2011-06-17,36.46136550006534,96.55887733540892,150.0,780.0,630.0
2011-08-03,41.586686817253344,93.94571723930113,150.0,690.0,540.0
2011-08-17,37.430531414675905,91.07979516407927,150.0,570.0,420.0
2011-10-03,43.224472608416015,89.84998380929338,150.0,480.0,330.0
2012-05-17,34.14810648275214,104.16363942478625,150.0,780.0,630.0
2012-06-04,36.38656262830376,105.1908132079669,150.0,660.0,510.0
2012-11-05,41.27510469647002,112.28666834170437,150.0,780.0,630.0
2012-11-19,33.29364471944713,110.6468835894136,150.0,660.0,510.0
2013-09-03,41.061918562937926,140.24393396104492,150.0,1050.0,900.0
2014-02-03,37.63847561068271,158.24641466743083,150.0,1200.0,1050.0
