date,equity,shares_value,cash_pool
2003-10-15,1330.0,1000.0,330.0
2003-10-16,1327.1187150219566,997.1187150219567,330.0
2003-10-17,1492.500752140528,1132.500752140528,360.0
2003-10-20,1505.8371009669265,1145.8371009669265,360.0
2003-10-21,1502.4867069116215,1142.4867069116215,360.0
2003-10-22,1476.031025834545,1116.031025834545,360.0
2003-10-23,1475.8637633550322,1115.8637633550322,360.0
2003-10-24,1478.603728357482,1118.603728357482,360.0
2003-10-27,1483.4289154407254,1123.4289154407254,360.0
2003-10-28,1497.8455924833952,1137.8455924833952,360.0
2003-10-29,1501.10162511241,1141.10162511241,360.0
2003-10-30,1506.015813264361,1146.015813264361,360.0
2003-10-31,1506.7574067483615,1146.7574067483615,360.0
2003-11-03,1709.0853214898332,1319.0853214898332,390.0
2003-11-04,1703.2619660344258,1313.2619660344258,390.0
2003-11-05,1707.4152354947007,1317.4152354947007,390.0
2003-11-06,1721.4353080032495,1331.4353080032495,390.0
2003-11-07,1692.1360194715326,1302.1360194715326,390.0
2003-11-10,1678.0018518480358,1288.0018518480358,390.0
2003-11-11,1678.4189392244446,1288.4189392244446,390.0
2003-11-12,1683.353714281335,1293.353714281335,390.0
2003-11-13,1677.9626661674126,1287.9626661674126,390.0
2003-11-14,1671.6887341930396,1281.6887341930396,390.0
2003-11-17,1856.6046402101401,1436.6046402101401,420.0
2003-11-18,1826.3191872778575,1406.3191872778575,420.0
2003-11-19,1841.728551249093,1421.728551249093,420.0
2003-11-20,1829.0747148973196,1409.0747148973196,420.0
2003-11-21,1834.0444155187527,1414.0444155187527,420.0
2003-11-24,1869.1613412136483,1449.1613412136483,420.0
2003-11-25,1867.3636213374073,1447.3636213374073,420.0
2003-11-26,1864.9055195936835,1444.9055195936835,420.0
2003-11-28,1862.2215849904105,1442.2215849904105,420.0
2003-12-01,1882.062444776367,1462.062444776367,420.0
2003-12-02,1869.895014595452,1449.895014595452,420.0
2003-12-03,2051.5055037202865,1601.5055037202862,450.0
2003-12-04,2072.0591058873124,1622.0591058873122,450.0
2003-12-05,2050.3122452758216,1600.3122452758214,450.0
2003-12-08,2053.676447981049,1603.6764479810493,450.0
2003-12-09,2053.3268222975184,1603.3268222975187,450.0
2003-12-10,2056.366980447479,1606.366980447479,450.0
2003-12-11,2083.112773869004,1633.1127738690036,450.0
2003-12-12,2082.8092670430856,1632.8092670430856,450.0
2003-12-15,2074.6564762195294,1624.6564762195296,450.0
2003-12-16,2099.0265617061905,1649.0265617061903,450.0
2003-12-17,2284.583965886398,1804.5839658863981,480.0
2003-12-18,2312.303895012341,1832.3038950123412,480.0
2003-12-19,2315.296283171867,1835.2962831718667,480.0
2003-12-22,2317.6059360270024,1837.6059360270024,480.0
2003-12-23,2306.2003764796677,1826.2003764796677,480.0
2003-12-24,2284.761596044087,1804.7615960440874,480.0
2003-12-26,2289.8095753223524,1809.8095753223527,480.0
2003-12-29,2312.916727355288,1832.916727355288,480.0
2003-12-30,2292.5193094604974,1812.5193094604972,480.0
2003-12-31,2298.3548092598157,1818.3548092598157,480.0
2004-01-02,2290.952220637196,1810.9522206371962,480.0
2004-01-05,2474.6480490583126,1964.6480490583124,510.0
2004-01-06,2484.858428963849,1974.8584289638488,510.0
2004-01-07,2495.992035588728,1985.9920355887282,510.0
2004-01-08,2487.206269070727,1977.2062690707273,510.0
2004-01-09,2462.277640941064,1952.277640941064,510.0
2004-01-12,2480.4023411697385,1970.4023411697385,510.0
2004-01-13,2461.0869768462308,1951.0869768462308,510.0
2004-01-14,2506.0168505461024,1996.0168505461024,510.0
2004-01-15,2520.7165637216212,2010.716563721621,510.0
2004-01-16,2532.718383303312,2022.7183833033118,510.0
2004-01-20,2521.4415137671067,2011.441513767107,510.0
2004-01-21,2550.3224786947094,2040.3224786947094,510.0
2004-01-22,2536.8631936402007,2026.8631936402007,510.0
2004-01-23,2557.016170052516,2047.016170052516,510.0
2004-01-26,2584.0397172974203,2074.0397172974203,510.0
2004-01-27,2553.0430465600793,2043.0430465600791,510.0
2004-01-28,2560.6279619486527,2050.6279619486527,510.0
2004-01-29,2568.344512658399,2058.344512658399,510.0
2004-01-30,2558.594303628148,2048.594303628148,510.0
2004-02-02,2587.0232005756716,2077.0232005756716,510.0
2004-02-03,2762.3198072162563,2222.3198072162563,540.0
2004-02-04,2740.853454333295,2200.853454333295,540.0
2004-02-05,2754.2429315750596,2214.2429315750596,540.0
2004-02-06,2750.7997312616,2210.7997312616,540.0
2004-02-09,2763.43533138194,2223.43533138194,540.0
2004-02-10,2775.4907681461873,2235.4907681461873,540.0
2004-02-11,2771.399253154122,2231.399253154122,540.0
2004-02-12,2770.7660809227054,2230.7660809227054,540.0
2004-02-13,2764.7767768776766,2224.7767768776766,540.0
2004-02-17,2946.016060236094,2376.016060236094,570.0
2004-02-18,2958.515978461121,2388.515978461121,570.0
2004-02-19,2958.8089910601693,2388.8089910601693,570.0
2004-02-20,2965.899636952972,2395.899636952972,570.0
2004-02-23,2958.2425446883735,2388.2425446883735,570.0
2004-02-24,2942.466023994738,2372.466023994738,570.0
2004-02-25,2964.974465021247,2394.974465021247,570.0
2004-02-26,2980.607972326621,2410.607972326621,570.0
2004-02-27,2966.4857763341424,2396.4857763341424,570.0
2004-03-01,2994.408214450763,2424.408214450763,570.0
2004-03-02,2992.112688082614,2422.112688082614,570.0
2004-03-03,3170.558035967335,2570.558035967335,600.0
2004-03-04,3164.15013249555,2564.15013249555,600.0
2004-03-05,3150.004231600687,2550.004231600687,600.0
2004-03-08,3111.267969866921,2511.267969866921,600.0
2004-03-09,3114.5064497296785,2514.5064497296785,600.0
2004-03-10,3071.781573790919,2471.781573790919,600.0
2004-03-11,3026.462599057821,2426.462599057821,600.0
2004-03-12,3088.952055826235,2488.952055826235,600.0
