date,rsi_sma,price,amount,cash_before,cash_after
2004-03-17,40.17370867879042,101.0595330860431,150.0,600.0,450.0
2004-05-17,38.65746989590465,102.01579079825471,150.0,570.0,420.0
2004-07-19,40.58679055742171,96.89093089016234,150.0,510.0,360.0
2004-08-03,43.861466665448056,97.61298686941272,150.0,390.0,240.0
2004-08-17,38.990652228694394,95.6780377124911,150.0,270.0,120.0
2005-04-04,40.98993912753104,98.21361581724551,150.0,540.0,390.0
2005-04-18,41.23809105557631,97.47725436551984,150.0,420.0,270.0
2005-10-17,34.03361610093427,96.76480012621987,150.0,570.0,420.0
2006-06-19,38.860153954730684,96.74018181806039,150.0,900.0,750.0
2007-03-05,39.249582582458416,114.31662643272307,150.0,1200.0,1050.0
2007-03-19,42.496208789812066,116.79413892119662,150.0,1080.0,930.0
2007-08-03,35.82466267353265,107.57001905570088,150.0,1200.0,1050.0
2007-08-17,39.72850224729229,109.16644900331349,150.0,1080.0,930.0
2007-11-19,38.49234592973969,101.03587666143488,150.0,1080.0,930.0
2007-12-03,44.72750560932968,105.4682932264744,150.0,960.0,810.0
2008-01-17,35.688780908273195,98.6719550558929,150.0,900.0,750.0
2008-02-04,43.42267733119014,98.37492359385139,150.0,780.0,630.0
2008-03-17,38.86735633912266,91.64413256958139,150.0,690.0,540.0
2008-06-17,41.44355473605015,99.53754138545295,150.0,720.0,570.0
2008-07-03,29.64593812166151,93.2392020223925,150.0,600.0,450.0
2008-07-17,31.400197625142397,91.26652560386832,150.0,480.0,330.0
2008-09-17,41.07333260348582,90.48563921785279,150.0,450.0,300.0
2008-10-03,40.44268582192446,86.78400422777851,150.0,330.0,180.0
2008-10-17,32.06383258752863,80.35582312016896,150.0,210.0,60.0
2009-03-03,32.08134933838595,66.65367460194173,150.0,300.0,150.0
2009-03-17,44.35554317816758,72.95956377689127,150.0,180.0,30.0
2010-02-03,40.50862584006144,87.75301547757506,150.0,600.0,450.0
2010-02-17,43.93656035951236,86.80224268172962,150.0,480.0,330.0
2010-05-17,43.01989442508544,88.93149055887869,150.0,510.0,360.0
2010-06-03,39.51174746963483,87.02189221422626,150.0,390.0,240.0
2011-03-17,43.65176614805926,97.34833955411489,150.0,750.0,600.0
2011-06-17,36.461521592405305,96.55890728536092,150.0,780.0,630.0
2011-08-03,41.5868290127508,93.94570256797495,150.0,690.0,540.0
2011-08-17,37.43061953066439,91.07979516407927,150.0,570.0,420.0
2011-10-03,43.224486829838746,89.85001585274831,150.0,480.0,330.0
2012-05-17,34.14810666059035,104.163647143445,150.0,780.0,630.0
2012-06-04,36.38663321711267,105.19088487246954,150.0,660.0,510.0
2012-11-05,41.275285150245566,112.2867367041311,150.0,780.0,630.0
2012-11-19,33.293651463653894,110.64682253961098,150.0,660.0,510.0
2013-09-03,41.06173586633194,140.24388566102633,150.0,1050.0,900.0
2014-02-03,37.638493736020486,158.24639769614842,150.0,1200.0,1050.0
2014-10-03,43.26456286555424,181.59127128885416,150.0,1500.0,1350.0
2014-10-17,33.36257187336827,175.7919427400612,150.0,1380.0,1230.0
2014-12-17,43.40122782891694,194.41679590175028,150.0,1350.0,1200.0
2015-09-03,39.35650812411916,218.060430285875,150.0,1620.0,1470.0
2015-10-05,43.25051417449032,220.8235813480081,150.0,1530.0,1380.0
2016-02-03,44.32345085271486,228.63412440522114,150.0,1590.0,1440.0
2016-02-17,41.62548225332849,227.3286578861746,150.0,1470.0,1320.0
2016-09-19,41.25871173107526,243.14302904888137,150.0,1680.0,1530.0
2016-11-03,39.154902655477386,241.38765195591637,150.0,1620.0,1470.0
2018-04-03,38.61454050070951,299.44703763892477,150.0,2430.0,2280.0
2018-07-03,43.747550501607826,318.9189454994892,150.0,2460.0,2310.0
