date,equity,shares_value,cash_pool,contributions
2025-02-03,180.0,150.0,30.0,150.0
2025-02-04,177.93830453435004,147.93830453435004,30.0,150.0
2025-02-05,177.67273875272818,147.67273875272818,30.0,150.0
2025-02-06,177.99266232415803,147.99266232415803,30.0,150.0
2025-02-07,176.54376212708573,146.54376212708573,30.0,150.0
2025-02-10,177.80401578808454,147.80401578808454,30.0,150.0
2025-02-11,177.96599934892657,147.96599934892657,30.0,150.0
2025-02-12,176.95947644820626,146.95947644820626,30.0,150.0
2025-02-13,178.67321334328363,148.67321334328363,30.0,150.0
2025-02-14,177.53691569934117,147.53691569934117,30.0,150.0
2025-02-18,177.89602965951775,147.89602965951775,30.0,150.0
2025-02-19,178.2882170355451,148.2882170355451,30.0,150.0
2025-02-20,178.20413482669414,148.20413482669414,30.0,150.0
2025-02-21,175.0104813065571,145.0104813065571,30.0,150.0
2025-02-24,174.71311446482355,144.71311446482355,30.0,150.0
2025-02-25,174.64594895183774,144.64594895183774,30.0,150.0
2025-02-26,174.969369904355,144.969369904355,30.0,150.0
2025-02-27,173.00748841386604,143.00748841386604,30.0,150.0
2025-02-28,176.32830317261048,146.32830317261048,30.0,150.0
2025-03-03,473.73975335213316,443.73975335213316,30.0,450.0
2025-03-04,469.9751062003116,439.9751062003116,30.0,450.0
2025-03-05,471.8527422749966,441.8527422749966,30.0,450.0
2025-03-06,462.2458411461789,432.2458411461789,30.0,450.0
2025-03-07,463.228570488374,433.228570488374,30.0,450.0
2025-03-10,454.0232865335427,424.0232865335427,30.0,450.0
2025-03-11,452.2161456836568,422.2161456836568,30.0,450.0
2025-03-12,454.55962312995655,424.55962312995655,30.0,450.0
2025-03-13,446.84791803101416,416.84791803101416,30.0,450.0
2025-03-14,457.3571798536857,427.3571798536857,30.0,450.0
2025-03-17,758.9630494183342,728.9630494183342,30.0,750.0
2025-03-18,747.3655174047517,717.3655174047517,30.0,750.0
2025-03-19,755.4014705742838,725.4014705742838,30.0,750.0
2025-03-20,754.2900995258989,724.2900995258989,30.0,750.0
2025-03-21,754.716274257726,724.716274257726,30.0,750.0
2025-03-24,768.209858009564,738.209858009564,30.0,750.0
2025-03-25,769.1273607036165,739.1273607036165,30.0,750.0
2025-03-26,758.1048140956468,728.1048140956468,30.0,750.0
2025-03-27,757.2904577909338,727.2904577909338,30.0,750.0
2025-03-28,743.2672738526795,713.2672738526795,30.0,750.0
2025-03-31,748.1355603251385,718.1355603251385,30.0,750.0
2025-04-01,754.2707200687997,724.2707200687997,30.0,750.0
2025-04-02,753.8604216600921,723.8604216600921,30.0,750.0
2025-04-03,894.5476620406529,834.5476620406529,60.0,900.0
2025-04-04,838.2022539925298,778.2022539925298,60.0,900.0
2025-04-07,845.6485142657929,785.6485142657929,60.0,900.0
2025-04-08,833.1637928961151,773.1637928961151,60.0,900.0
2025-04-09,915.2730829884999,855.2730829884999,60.0,900.0
2025-04-10,869.0917024690103,809.0917024690103,60.0,900.0
2025-04-11,874.7505228989171,814.7505228989171,60.0,900.0
2025-04-14,878.1083943542362,818.1083943542362,60.0,900.0
2025-04-15,877.3516773225754,817.3516773225754,60.0,900.0
2025-04-16,862.460848386899,802.460848386899,60.0,900.0
2025-04-17,1128.0035357996846,1098.0035357996846,30.0,1200.0
2025-04-22,1127.740291523737,1097.740291523737,30.0,1200.0
2025-04-23,1145.7815227894216,1115.7815227894216,30.0,1200.0
2025-04-24,1171.4891096733595,1141.4891096733595,30.0,1200.0
2025-04-25,1178.4025470021193,1148.4025470021193,30.0,1200.0
2025-04-28,1179.9014323712033,1149.9014323712033,30.0,1200.0
2025-04-29,1183.749938456508,1153.749938456508,30.0,1200.0
2025-04-30,1183.9324708180138,1153.9324708180138,30.0,1200.0
2025-05-01,1188.983589362931,1158.983589362931,30.0,1200.0
2025-05-02,1211.041081614179,1181.041081614179,30.0,1200.0
2025-05-05,1382.2161398666274,1322.2161398666274,60.0,1350.0
2025-05-06,1371.12677672628,1311.12677672628,60.0,1350.0
2025-05-07,1371.6396871728182,1311.6396871728182,60.0,1350.0
2025-05-08,1386.9946336622227,1326.9946336622227,60.0,1350.0
2025-05-09,1393.9544039170935,1333.9544039170935,60.0,1350.0
2025-05-12,1437.9888474977056,1377.9888474977056,60.0,1350.0
2025-05-13,1452.0898966577265,1392.0898966577265,60.0,1350.0
2025-05-14,1449.6597329694273,1389.6597329694273,60.0,1350.0
2025-05-15,1461.158138073284,1401.158138073284,60.0,1350.0
2025-05-16,1467.5819760446368,1407.5819760446368,60.0,1350.0
2025-05-19,1648.909651812031,1558.909651812031,90.0,1500.0
2025-05-20,1644.147050060257,1554.147050060257,90.0,1500.0
2025-05-21,1612.7475285245464,1522.7475285245464,90.0,1500.0
