date,equity,shares_value,cash_pool
2003-10-15,1330.0,1000.0,330.0
2003-10-16,1327.118389167339,997.1183891673389,330.0
2003-10-17,1492.4998864901354,1132.4998864901354,360.0
2003-10-20,1505.8372346836304,1145.8372346836304,360.0
2003-10-21,1502.4857142817807,1142.4857142817807,360.0
2003-10-22,1476.0315273748035,1116.0315273748035,360.0
2003-10-23,1475.8637695977275,1115.8637695977275,360.0
2003-10-24,1478.6042309101258,1118.6042309101258,360.0
2003-10-27,1483.4290465424424,1123.4290465424424,360.0
2003-10-28,1497.845725267507,1137.845725267507,360.0
2003-10-29,1501.1020074253222,1141.1020074253222,360.0
2003-10-30,1506.01607185171,1146.01607185171,360.0
2003-10-31,1506.7576656216606,1146.7576656216606,360.0
2003-11-03,1709.0854579195538,1319.0854579195538,390.0
2003-11-04,1703.2619592789026,1313.2619592789026,390.0
2003-11-05,1707.4150859000981,1317.4150859000981,390.0
2003-11-06,1721.4348709643057,1331.4348709643057,390.0
2003-11-07,1692.1365788757062,1302.1365788757062,390.0
2003-11-10,1678.0022662859806,1288.0022662859806,390.0
2003-11-11,1678.4190724824173,1288.4190724824173,390.0
2003-11-12,1683.3538480496993,1293.3538480496993,390.0
2003-11-13,1677.9626603309027,1287.9626603309027,390.0
2003-11-14,1671.688866754924,1281.688866754924,390.0
2003-11-17,1856.605336455257,1436.605336455257,420.0
2003-11-18,1826.319253268827,1406.319253268827,420.0
2003-11-19,1841.7289297477494,1421.7289297477494,420.0
2003-11-20,1829.0744692090545,1409.0744692090545,420.0
2003-11-21,1834.0447934893455,1414.0447934893455,420.0
2003-11-24,1869.161566806033,1449.161566806033,420.0
2003-11-25,1867.3636892543705,1447.3636892543705,420.0
2003-11-26,1864.905119467176,1444.905119467176,420.0
2003-11-28,1862.221497096789,1442.221497096789,420.0
2003-12-01,1882.0614212157725,1462.0614212157725,420.0
2003-12-02,1869.893996828316,1449.893996828316,420.0
2003-12-03,2051.5055718316057,1601.5055718316057,450.0
