date,rsi_sma,price,amount,cash_before,cash_after
2004-03-17,37.04858296759129,101.05950243418832,150.0,600.0,450.0
2004-05-03,42.21397523136771,103.11723888333917,150.0,540.0,390.0
2004-05-17,33.60465537215,102.01579079825471,150.0,420.0,270.0
2004-07-19,31.792383936480697,96.89092091701814,150.0,360.0,210.0
2004-08-03,40.65724929106993,97.61297681921197,150.0,240.0,90.0
2005-04-04,28.005544144450756,98.21363446958892,150.0,540.0,390.0
2005-05-03,41.31437365620002,99.83049718636698,150.0,450.0,300.0
2005-10-03,42.77833454433469,98.46860368164685,150.0,540.0,390.0
2005-10-17,28.673260775896036,96.76481812548738,150.0,420.0,270.0
2006-02-03,44.761693993816586,99.98681840817302,150.0,480.0,330.0
2006-04-17,43.23078369027443,102.54385686745564,150.0,480.0,330.0
2006-06-05,37.802076556975074,97.67591792248885,150.0,420.0,270.0
2006-06-19,42.448359520429584,96.74018181806039,150.0,300.0,150.0
2007-03-05,36.787097554389824,114.31664444267159,150.0,600.0,450.0
2007-03-19,35.96305250897384,116.79418380874034,150.0,480.0,330.0
2007-08-03,31.39441982294758,107.57001905570088,150.0,600.0,450.0
2007-08-17,39.01555533707879,109.16645709810092,150.0,480.0,330.0
2007-11-05,41.31155943643389,100.00039457431403,150.0,450.0,300.0
2007-11-19,36.0445395538272,101.03582412084523,150.0,330.0,180.0
2007-12-03,43.22020658399367,105.46832373489848,150.0,210.0,60.0
2008-01-17,27.928277560051104,98.6719550558929,150.0,150.0,0.0
2008-06-17,37.430603150548855,99.5375569082191,150.0,270.0,120.0
2008-07-03,24.575480076685416,93.23922531569553,150.0,150.0,0.0
2008-09-17,39.35252662590727,90.48561473207329,150.0,150.0,0.0
2008-12-03,43.86633043193151,79.87749740714276,150.0,150.0,0.0
2009-03-03,25.105918569799403,66.65363513050437,150.0,150.0,0.0
2009-11-03,44.67141157578219,83.52677540582684,150.0,450.0,300.0
2010-02-03,33.413019125293,87.752999275793,150.0,450.0,300.0
2010-02-17,40.540686296126395,86.80224268172962,150.0,330.0,180.0
2010-05-17,38.62391402872838,88.93151420008353,150.0,360.0,210.0
2010-06-03,36.60338097656084,87.02187634050763,150.0,240.0,90.0
2010-09-03,38.096620364489915,88.60681589084697,150.0,240.0,90.0
2010-12-03,44.10412123739119,94.10454828641062,150.0,270.0,120.0
2011-03-17,40.438354978749544,97.34835469693654,150.0,300.0,150.0
2011-06-03,41.55784639492111,97.98793728279693,150.0,300.0,150.0
2011-06-17,32.39935480670729,96.55887733540892,150.0,180.0,30.0
2011-10-03,44.781238421899616,89.84999983102084,150.0,180.0,30.0
2011-12-05,43.17651494200906,99.93197587969651,150.0,150.0,0.0
2012-04-17,39.201597982870744,109.39356045822223,150.0,270.0,120.0
2012-05-17,30.25775380418092,104.16362398746875,150.0,180.0,30.0
2012-11-05,37.754932236738135,112.28669112917994,150.0,330.0,180.0
2012-11-19,29.95862261267098,110.64682253961098,150.0,210.0,60.0
2013-06-17,42.31305717733274,134.43640605382143,150.0,450.0,300.0
2013-08-19,44.13695631338869,137.645166590427,150.0,420.0,270.0
2013-09-03,31.07793159070511,140.24388566102633,150.0,300.0,150.0
2014-02-03,34.787232333428044,158.2463298110188,150.0,450.0,300.0
2014-08-18,39.51331697621062,177.2282953585846,150.0,660.0,510.0
2014-10-03,41.375576182894456,181.5913053342641,150.0,600.0,450.0
2014-10-17,30.485353248471288,175.79195992298293,150.0,480.0,330.0
2014-12-17,36.63881920372393,194.41683139979898,150.0,450.0,300.0
2015-03-17,36.49267808203663,221.2329052052959,150.0,450.0,300.0
2015-06-17,40.75546625518161,216.6131635670961,150.0,450.0,300.0
2015-09-03,35.13713669100485,218.06049100822906,150.0,420.0,270.0
2015-10-05,43.84643848577914,220.82360143925533,150.0,330.0,180.0
2015-12-17,40.430783514075685,238.7180595713426,150.0,330.0,180.0
2016-05-17,39.73368743256869,225.76871277592122,150.0,450.0,300.0
2016-09-19,37.64755739935507,243.14302904888137,150.0,480.0,330.0
2016-11-03,36.295023229122,241.38767239353854,150.0,420.0,270.0
2017-04-03,44.84811236495597,273.47902982885023,150.0,570.0,420.0
2017-08-17,41.24920492924257,268.9351042672323,150.0,690.0,540.0
2018-04-03,32.16911656065746,299.44711650244597,150.0,930.0,780.0
2018-07-03,31.352608587097325,318.9188247652363,150.0,960.0,810.0
2018-10-17,24.387312251575548,325.3236529997646,150.0,990.0,840.0
2018-11-05,39.769711820571864,321.1816837740652,150.0,870.0,720.0
2018-12-03,44.420274145534584,332.0044476044745,150.0,780.0,630.0
2018-12-17,43.857291387022606,306.57654417710836,150.0,660.0,510.0
2019-01-03,28.671803184460824,300.26164968293267,150.0,540.0,390.0
2019-05-17,36.99321979546729,348.6129933221254,150.0,630.0,480.0
2019-06-03,34.362709997765,336.3158997501813,150.0,510.0,360.0
2019-08-19,37.17639969232221,353.07013415630223,150.0,510.0,360.0
2019-10-03,40.382235550029534,354.01405058158525,150.0,450.0,300.0
2020-03-03,26.068254908419245,367.69540788362065,150.0,570.0,420.0
2020-03-17,29.681595960296562,325.52394786356757,150.0,450.0,300.0
2020-11-03,35.055020897463734,414.1553513611652,150.0,720.0,570.0
2021-10-04,36.90859018965479,511.60712544462916,150.0,1170.0,1020.0
2021-12-03,40.4649524180054,549.4437771886531,150.0,1140.0,990.0
2022-02-03,30.559577162949854,537.5175585319687,150.0,1080.0,930.0
2022-03-03,37.99342283850588,522.7447086169285,150.0,990.0,840.0
2022-04-18,43.923666211635144,525.7923821929652,150.0,930.0,780.0
2022-05-03,30.994890794898907,510.13600438740167,150.0,810.0,660.0
2022-05-17,34.89659774791884,499.32846862027236,150.0,690.0,540.0
2022-06-17,39.56894714320593,452.9671929577081,150.0,600.0,450.0
2022-09-19,38.20716819106227,494.38623434603113,150.0,570.0,420.0
2022-10-03,27.479598345487627,485.0857317122979,150.0,450.0,300.0
2022-10-17,41.52550873561156,487.74690064746125,150.0,330.0,180.0
2023-01-03,37.0923691762071,497.8197795448172,150.0,330.0,180.0
2023-03-03,34.03809700083719,529.7647208588477,150.0,300.0,150.0
2023-03-17,38.222757076236896,517.7952813184689,150.0,180.0,30.0
2023-08-17,34.237352743690884,573.6858416426187,150.0,300.0,150.0
2023-10-03,26.078763848342962,562.0532618047968,150.0,210.0,60.0
2024-04-17,38.21525172914023,679.1110358464633,150.0,420.0,270.0
2024-05-03,40.97329245294186,686.0220479388513,150.0,300.0,150.0
2024-08-05,36.348791011149466,707.4860961023807,150.0,330.0,180.0
2025-01-03,40.83422247267504,845.1797797778205,150.0,480.0,330.0
2025-01-17,44.95690500730184,852.7917335521721,150.0,360.0,210.0
2025-03-03,40.39971431119846,835.699547744377,150.0,270.0,120.0
2025-03-17,26.661811773363034,807.8704323646045,150.0,150.0,0.0
