date,equity,shares_value,cash_pool
2003-10-15,1330.0,1000.0,330.0
2003-10-16,1327.1188245092558,997.1188245092557,330.0
2003-10-17,1492.5004260169717,1132.5004260169717,360.0
2003-10-20,1505.8372767205324,1145.8372767205324,360.0
2003-10-21,1502.4866317246274,1142.4866317246274,360.0
2003-10-22,1476.0314427835156,1116.0314427835156,360.0
2003-10-23,1475.86331263554,1115.86331263554,360.0
2003-10-24,1478.604146219688,1118.604146219688,360.0
2003-10-27,1483.4282147300573,1123.4282147300573,360.0
2003-10-28,1497.8457670112275,1137.8457670112275,360.0
2003-10-29,1501.102174028994,1141.102174028994,360.0
2003-10-30,1506.0162391728475,1146.0162391728475,360.0
2003-10-31,1506.7577080018566,1146.7577080018566,360.0
2003-11-03,1709.085248646901,1319.085248646901,390.0
2003-11-04,1703.2618925846853,1313.2618925846853,390.0
2003-11-05,1707.416305543464,1317.416305543464,390.0
2003-11-06,1721.4350924592438,1331.4350924592438,390.0
2003-11-07,1692.1360876173903,1302.1360876173903,390.0
2003-11-10,1678.0024805555543,1288.0024805555543,390.0
2003-11-11,1678.419849610505,1288.419849610505,390.0
2003-11-12,1683.3546218845215,1293.3546218845215,390.0
2003-11-13,1677.9630136412022,1287.9630136412022,390.0
2003-11-14,1671.689498626876,1281.689498626876,390.0
2003-11-17,1856.6048465238327,1436.6048465238327,420.0
2003-11-18,1826.318765588736,1406.318765588736,420.0
2003-11-19,1841.7290668991257,1421.7290668991257,420.0
2003-11-20,1829.0750714530577,1409.0750714530577,420.0
2003-11-21,1834.0444617148519,1414.0444617148519,420.0
2003-11-24,1869.1615503219089,1449.1615503219089,420.0
2003-11-25,1867.363517177244,1447.363517177244,420.0
2003-11-26,1864.9052613118413,1444.9052613118413,420.0
2003-11-28,1862.2216387950573,1442.2216387950573,420.0
2003-12-01,1882.0620346205944,1462.0620346205944,420.0
2003-12-02,1869.8952263657297,1449.8952263657297,420.0
2003-12-03,2051.5063376131347,1601.5063376131347,450.0
2003-12-04,2072.058563566108,1622.0585635661084,450.0
2003-12-05,2050.3122201597353,1600.3122201597355,450.0
2003-12-08,2053.676596303173,1603.6765963031728,450.0
2003-12-09,2053.32714173401,1603.32714173401,450.0
2003-12-10,2056.3666092066783,1606.3666092066783,450.0
2003-12-11,2083.1129254951225,1633.1129254951225,450.0
2003-12-12,2082.8092456031945,1632.8092456031948,450.0
2003-12-15,2074.655933029918,1624.6559330299178,450.0
2003-12-16,2099.0263650535994,1649.0263650535994,450.0
2003-12-17,2284.5835951180006,1804.5835951180009,480.0
2003-12-18,2312.3027601488197,1832.3027601488197,480.0
2003-12-19,2315.297260825894,1835.2972608258942,480.0
2003-12-22,2317.605570322135,1837.605570322135,480.0
2003-12-23,2306.2015351409377,1826.2015351409377,480.0
2003-12-24,2284.7629300148565,1804.7629300148562,480.0
2003-12-26,2289.8105352447,1809.8105352447003,480.0
2003-12-29,2312.917126674377,1832.9171266743772,480.0
2003-12-30,2292.5197043358066,1812.5197043358066,480.0
2003-12-31,2298.354645167621,1818.354645167621,480.0
2004-01-02,2290.952429101433,1810.9524291014334,480.0
2004-01-05,2474.6489977261335,1964.6489977261338,510.0
2004-01-06,2484.8583793198914,1974.8583793198911,510.0
2004-01-07,2495.9927909528064,1985.9927909528064,510.0
2004-01-08,2487.2070195048154,1977.2070195048157,510.0
2004-01-09,2462.278980940966,1952.278980940966,510.0
2004-01-12,2480.4018962175455,1970.4018962175455,510.0
2004-01-13,2461.0873240336796,1951.0873240336796,510.0
2004-01-14,2506.017004745914,1996.017004745914,510.0
2004-01-15,2520.7169215198955,2010.7169215198955,510.0
2004-01-16,2532.7193503469043,2022.7193503469045,510.0
2004-01-20,2521.441469105517,2011.441469105517,510.0
2004-01-21,2550.322841761228,2040.3228417612281,510.0
2004-01-22,2536.863554311698,2026.863554311698,510.0
2004-01-23,2557.0167387529764,2047.0167387529766,510.0
2004-01-26,2584.041313768873,2074.041313768873,510.0
2004-01-27,2553.042799307159,2043.0427993071592,510.0
2004-01-28,2560.628533567386,2050.628533567386,510.0
2004-01-29,2568.3442570465927,2058.3442570465927,510.0
2004-01-30,2558.5940492271543,2048.5940492271543,510.0
2004-02-02,2587.0237784499386,2077.0237784499386,510.0
2004-02-03,2762.32017597656,2222.32017597656,540.0
2004-02-04,2740.854711070212,2200.854711070212,540.0
2004-02-05,2754.242628235152,2214.242628235152,540.0
2004-02-06,2750.80076039613,2210.80076039613,540.0
2004-02-09,2763.435034431259,2223.435034431259,540.0
2004-02-10,2775.492473792475,2235.492473792475,540.0
2004-02-11,2771.3998431299665,2231.3998431299665,540.0
2004-02-12,2770.766891973267,2230.766891973267,540.0
2004-02-13,2764.7784711187473,2224.7784711187473,540.0
2004-02-17,2946.015772639041,2376.015772639041,570.0
2004-02-18,2958.5161582681935,2388.5161582681935,570.0
2004-02-19,2958.8091700084046,2388.8091700084046,570.0
2004-02-20,2965.8993390089327,2395.8993390089327,570.0
2004-02-23,2958.2424840821104,2388.2424840821104,570.0
2004-02-24,2942.467385138491,2372.467385138491,570.0
2004-02-25,2964.974881965329,2394.974881965329,570.0
2004-02-26,2980.6081523045723,2410.6081523045723,570.0
2004-02-27,2966.4850029522927,2396.4850029522927,570.0
2004-03-01,2994.4086365190033,2424.4086365190033,570.0
2004-03-02,2992.1145479849442,2422.1145479849442,570.0
2004-03-03,3170.5579791315245,2570.5579791315245,600.0
2004-03-04,3164.149319172762,2564.149319172762,600.0
2004-03-05,3150.0061814927335,2550.0061814927335,600.0
2004-03-08,3111.2689098033966,2511.2689098033966,600.0
2004-03-09,3114.5073928868514,2514.5073928868514,600.0
2004-03-10,3071.7810038039247,2471.7810038039247,600.0
2004-03-11,3026.4630248083477,2426.4630248083477,600.0
2004-03-12,3088.951481879768,2488.951481879768,600.0
2004-03-15,3057.704907456743,2457.704907456743,600.0
2004-03-16,3070.745854662892,2470.745854662892,600.0
2004-03-17,3289.615941699089,2809.615941699089,480.0
2004-03-18,3263.919627011079,2783.919627011079,480.0
2004-03-19,3235.3937710541372,2755.3937710541372,480.0
2004-03-22,3203.0671166964557,2723.0671166964557,480.0
2004-03-23,3195.4936007188044,2715.4936007188044,480.0
2004-03-24,3210.581482720832,2730.581482720832,480.0
2004-03-25,3229.770495612167,2749.770495612167,480.0
2004-03-26,3206.1122791023013,2726.1122791023013,480.0
2004-03-29,3224.9148032684084,2744.9148032684084,480.0
2004-03-30,3227.445167316592,2747.445167316592,480.0
2004-03-31,3238.6121520774454,2758.6121520774454,480.0
2004-04-01,3250.3232088684817,2770.3232088684817,480.0
2004-04-02,3285.782624648129,2805.782624648129,480.0
2004-04-05,3481.4155393738356,2971.4155393738356,510.0
2004-04-06,3464.889999570502,2954.889999570502,510.0
2004-04-07,3457.271749955763,2947.271749955763,510.0
2004-04-08,3484.911535528675,2974.911535528675,510.0
2004-04-12,3499.5446005715557,2989.5446005715557,510.0
2004-04-13,3474.500136562604,2964.500136562604,510.0
2004-04-14,3499.454869708518,2989.454869708518,510.0
2004-04-15,3487.009464766845,2977.009464766845,510.0
2004-04-16,3513.734774403651,3003.734774403651,510.0
2004-04-19,3693.9580662388507,3153.9580662388507,540.0
2004-04-20,3665.237543307712,3125.237543307712,540.0
2004-04-21,3694.06972501512,3154.06972501512,540.0
2004-04-22,3726.0632342865083,3186.0632342865083,540.0
2004-04-23,3741.1438928483885,3201.1438928483885,540.0
2004-04-26,3718.3199585529414,3178.3199585529414,540.0
2004-04-27,3721.810844042042,3181.810844042042,540.0
2004-04-28,3733.818631601357,3193.818631601357,540.0
2004-04-29,3698.8827104441702,3158.8827104441702,540.0
2004-04-30,3672.4785017687855,3132.4785017687855,540.0
2004-05-03,3890.001149609702,3320.001149609702,570.0
2004-05-04,3884.4362961622387,3314.4362961622387,570.0
2004-05-05,3909.1361813074054,3339.1361813074054,570.0
2004-05-06,3890.3029966004174,3320.3029966004174,570.0
2004-05-07,3851.495399784357,3281.495399784357,570.0
2004-05-10,3836.3165731555096,3266.3165731555096,570.0
2004-05-11,3852.329835755145,3282.329835755145,570.0
2004-05-12,3874.4566853612305,3304.4566853612305,570.0
2004-05-13,3875.8761057097618,3305.8761057097618,570.0
2004-05-14,3863.3758325930517,3293.3758325930517,570.0
2004-05-17,4034.538515540797,3584.538515540797,450.0
2004-05-18,4039.7042309106273,3589.7042309106273,450.0
2004-05-19,3989.7114059047867,3539.7114059047867,450.0
2004-05-20,3980.9213336637054,3530.9213336637054,450.0
2004-05-21,3994.0218516456075,3544.0218516456075,450.0
2004-05-24,4007.56882169544,3557.56882169544,450.0
2004-05-25,4059.070975265633,3609.070975265633,450.0
2004-05-26,4070.3334294576525,3620.3334294576525,450.0
2004-05-27,4055.053950900657,3605.053950900657,450.0
2004-05-28,4069.0812348836125,3619.0812348836125,450.0
2004-06-01,4075.67859329322,3625.67859329322,450.0
2004-06-02,4073.211799523648,3623.211799523648,450.0
2004-06-03,4223.5960493427865,3743.5960493427865,480.0
2004-06-04,4223.677539887292,3743.6775398872924,480.0
2004-06-07,4263.515031037812,3783.5150310378126,480.0
2004-06-08,4277.241416309107,3797.2414163091075,480.0
2004-06-09,4274.234307404361,3794.234307404361,480.0
2004-06-10,4290.94445438685,3810.94445438685,480.0
2004-06-14,4304.925002463655,3824.9250024636553,480.0
2004-06-15,4308.463261819108,3828.463261819108,480.0
2004-06-16,4321.210694367063,3841.2106943670633,480.0
2004-06-17,4494.647575457757,3984.6475754577564,510.0
2004-06-18,4473.687129375324,3963.687129375324,510.0
2004-06-21,4458.97723466362,3948.9772346636196,510.0
2004-06-22,4461.113486443413,3951.113486443413,510.0
2004-06-23,4501.016940222974,3991.016940222974,510.0
2004-06-24,4448.418425422635,3938.4184254226348,510.0
2004-06-25,4504.593839931686,3994.593839931686,510.0
2004-06-28,4420.117678913166,3910.1176789131655,510.0
2004-06-29,4431.071675741918,3921.0716757419177,510.0
2004-06-30,4415.162305202775,3905.1623052027758,510.0
2004-07-01,4356.03694228411,3846.0369422841104,510.0
2004-07-02,4328.301550741232,3818.301550741232,510.0
2004-07-06,4305.973706733463,3795.973706733463,510.0
2004-07-07,4301.384871057047,3791.3848710570473,510.0
2004-07-08,4265.627201918638,3755.6272019186385,510.0
2004-07-09,4274.259779080186,3764.2597790801856,510.0
2004-07-12,4279.087898714239,3769.087898714239,510.0
2004-07-13,4279.2102191526565,3769.2102191526565,510.0
2004-07-14,4282.583335022229,3772.5833350222297,510.0
2004-07-15,4259.360057943355,3749.360057943355,510.0
2004-07-16,4221.490679962144,3711.4906799621435,510.0
2004-07-19,4375.302673517364,3985.3026735173644,390.0
2004-07-20,4440.426807430085,4050.426807430086,390.0
2004-07-21,4398.113911410681,4008.1139114106804,390.0
2004-07-22,4391.763560906604,4001.763560906604,390.0
2004-07-23,4377.24180128065,3987.2418012806497,390.0
2004-07-26,4393.919498003035,4003.9194980030347,390.0
2004-07-27,4435.418278097726,4045.4182780977258,390.0
2004-07-28,4437.2294591469035,4047.229459146903,390.0
2004-07-29,4442.275299165258,4052.2752991652583,390.0
2004-07-30,4471.174798021211,4081.1747980212117,390.0
2004-08-02,4479.0287552522395,4089.0287552522395,390.0
2004-08-03,4585.002167557709,4315.002167557709,270.0
2004-08-04,4579.0426970705685,4309.0426970705685,270.0
2004-08-05,4516.715184118328,4246.715184118328,270.0
2004-08-06,4455.037464702245,4185.037464702245,270.0
2004-08-09,4458.687001649806,4188.687001649806,270.0
2004-08-10,4520.762756864236,4250.762756864236,270.0
2004-08-11,4528.528057886257,4258.528057886257,270.0
2004-08-12,4503.690309090182,4233.690309090182,270.0
2004-08-13,4467.080279205173,4197.080279205173,270.0
2004-08-16,4475.458015931901,4205.458015931901,270.0
2004-08-17,4679.466901315021,4529.466901315021,150.0
2004-08-18,4719.040724610263,4569.040724610263,150.0
2004-08-19,4677.470247379329,4527.470247379329,150.0
2004-08-20,4714.5204000082185,4564.5204000082185,150.0
2004-08-23,4734.871889203639,4584.871889203639,150.0
2004-08-24,4735.49264127719,4585.49264127719,150.0
2004-08-25,4762.768187927368,4612.768187927368,150.0
2004-08-26,4772.669787555603,4622.669787555603,150.0
2004-08-27,4809.935614168507,4659.935614168507,150.0
2004-08-30,4784.487792466672,4634.487792466672,150.0
2004-08-31,4791.475820561052,4641.475820561052,150.0
2004-09-01,4778.988702684532,4628.988702684532,150.0
2004-09-02,4809.165112148343,4659.165112148343,150.0
2004-09-03,4970.4857404508575,4790.4857404508575,180.0
2004-09-07,4955.376170570944,4775.376170570944,180.0
2004-09-08,4954.995822156193,4774.995822156193,180.0
2004-09-09,4937.079953802965,4757.079953802965,180.0
2004-09-10,4975.355993392141,4795.355993392141,180.0
2004-09-13,5029.810176203992,4849.810176203992,180.0
2004-09-14,5009.770213422572,4829.770213422572,180.0
2004-09-15,4984.715058296759,4804.715058296759,180.0
2004-09-16,4975.773646767357,4795.773646767357,180.0
2004-09-17,5201.550897166283,4991.550897166283,210.0
2004-09-20,5160.841126866856,4950.841126866856,210.0
2004-09-21,5155.894036401284,4945.894036401284,210.0
2004-09-22,5078.978058935193,4868.978058935193,210.0
2004-09-23,5040.336380923359,4830.336380923359,210.0
2004-09-24,5040.927688124075,4830.927688124075,210.0
2004-09-27,5000.358300742974,4790.358300742974,210.0
2004-09-28,5021.76917076733,4811.76917076733,210.0
2004-09-29,5040.656064288753,4830.656064288753,210.0
2004-09-30,5006.027100718836,4796.027100718836,210.0
2004-10-01,5084.426806604258,4874.426806604258,210.0
2004-10-04,5317.109409485202,5077.109409485202,240.0
2004-10-05,5274.671233108854,5034.671233108854,240.0
2004-10-06,5303.9217231818875,5063.9217231818875,240.0
2004-10-07,5247.622076210911,5007.622076210911,240.0
2004-10-08,5173.396971993112,4933.396971993112,240.0
2004-10-11,5206.634430495293,4966.634430495293,240.0
2004-10-12,5192.415940644578,4952.415940644578,240.0
2004-10-13,5159.0135409897575,4919.0135409897575,240.0
2004-10-14,5110.401477471944,4870.401477471944,240.0
2004-10-15,5122.874629393725,4882.874629393725,240.0
2004-10-18,5342.448151794061,5072.448151794061,270.0
2004-10-19,5296.553435492572,5026.553435492572,270.0
2004-10-20,5239.858402133329,4969.858402133329,270.0
2004-10-21,5267.013721026105,4997.013721026105,270.0
2004-10-22,5173.513432994422,4903.513432994422,270.0
2004-10-25,5116.528665415348,4846.528665415348,270.0
2004-10-26,5204.339178176113,4934.339178176113,270.0
2004-10-27,5267.696841828009,4997.696841828009,270.0
2004-10-29,5247.107945468556,4977.107945468556,270.0
2004-11-01,5282.878812436165,5012.878812436165,270.0
2004-11-02,5298.180725059645,5028.180725059645,270.0
2004-11-03,5462.589469680296,5162.589469680296,300.0
2004-11-04,5532.217036483877,5232.217036483877,300.0
2004-11-05,5521.794460237913,5221.794460237913,300.0
2004-11-08,5502.461587713635,5202.461587713635,300.0
2004-11-09,5515.288974439344,5215.288974439344,300.0
2004-11-10,5504.0761122329495,5204.0761122329495,300.0
2004-11-11,5543.232387273892,5243.232387273892,300.0
2004-11-12,5572.229806697863,5272.229806697863,300.0
2004-11-15,5624.16947842987,5324.16947842987,300.0
2004-11-16,5554.824139850292,5254.824139850292,300.0
2004-11-17,5758.950053909548,5428.950053909548,330.0
2004-11-18,5827.334880341966,5497.334880341966,330.0
2004-11-19,5695.0284188445,5365.0284188445,330.0
2004-11-22,5697.074484241704,5367.074484241704,330.0
2004-11-23,5706.622941177239,5376.622941177239,330.0
2004-11-24,5691.186008498354,5361.186008498354,330.0
2004-11-26,5672.579275761745,5342.579275761745,330.0
2004-11-29,5689.338198708862,5359.338198708862,330.0
2004-11-30,5702.932544318592,5372.932544318592,330.0
2004-12-01,5744.331484134329,5414.331484134329,330.0
2004-12-02,5798.784404295417,5468.784404295417,330.0
2004-12-03,5954.067800412481,5594.067800412481,360.0
2004-12-06,6002.957662868547,5642.957662868547,360.0
2004-12-07,5984.873273872498,5624.873273872498,360.0
2004-12-08,6057.082229375484,5697.082229375484,360.0
2004-12-09,6104.958790201711,5744.958790201711,360.0
2004-12-10,6118.269426457579,5758.269426457579,360.0
2004-12-13,6187.4404431256735,5827.4404431256735,360.0
2004-12-14,6254.447999655922,5894.447999655922,360.0
2004-12-15,6200.214585959957,5840.214585959957,360.0
2004-12-16,6238.7516805538535,5878.7516805538535,360.0
2004-12-17,6355.882800747034,5965.882800747034,390.0
2004-12-20,6357.864603519954,5967.864603519954,390.0
2004-12-21,6398.929462488562,6008.929462488562,390.0
2004-12-22,6468.821022979674,6078.821022979674,390.0
2004-12-23,6442.433194191778,6052.433194191778,390.0
2004-12-27,6357.420032362695,5967.420032362695,390.0
2004-12-28,6380.743285009892,5990.743285009892,390.0
2004-12-29,6353.146126007406,5963.146126007406,390.0
2004-12-30,6317.23114190711,5927.23114190711,390.0
2004-12-31,6289.772933527927,5899.772933527927,390.0
2005-01-03,6474.707224763618,6054.707224763618,420.0
2005-01-04,6467.072848857265,6047.072848857265,420.0
2005-01-05,6441.082135814267,6021.082135814267,420.0
2005-01-06,6525.56879185331,6105.56879185331,420.0
2005-01-07,6497.076779817825,6077.076779817825,420.0
2005-01-10,6473.244618276179,6053.244618276179,420.0
2005-01-11,6422.175281102364,6002.175281102364,420.0
2005-01-12,6356.012146936288,5936.012146936288,420.0
2005-01-13,6311.883026068054,5891.883026068054,420.0
2005-01-14,6398.12429488958,5978.12429488958,420.0
2005-01-18,6513.083154240046,6093.083154240046,420.0
2005-01-19,6473.471185283956,6053.471185283956,420.0
2005-01-20,6458.636509677387,6038.636509677387,420.0
2005-01-21,6339.398268894531,5919.398268894531,420.0
2005-01-24,6363.675183994668,5943.675183994668,420.0
2005-01-25,6434.567881858256,6014.567881858256,420.0
2005-01-26,6442.809280254249,6022.809280254249,420.0
2005-01-27,6475.103833536849,6055.103833536849,420.0
2005-01-28,6478.039818555166,6058.039818555166,420.0
2005-01-31,6526.531837313651,6106.531837313651,420.0
2005-02-01,6523.667802892574,6103.667802892574,420.0
2005-02-02,6570.972638155773,6150.972638155773,420.0
2005-02-03,6748.86631018925,6298.86631018925,450.0
2005-02-04,6861.275149286908,6411.275149286908,450.0
2005-02-07,6882.987249900389,6432.987249900389,450.0
2005-02-08,6857.64251020436,6407.64251020436,450.0
2005-02-09,6803.5590973860535,6353.5590973860535,450.0
2005-02-10,6798.345988083918,6348.345988083918,450.0
2005-02-11,6811.708597110289,6361.708597110289,450.0
2005-02-14,6806.968818444234,6356.968818444234,450.0
2005-02-15,6814.645327613083,6364.645327613083,450.0
2005-02-16,6848.341761021384,6398.341761021384,450.0
2005-02-17,6934.523202797331,6454.523202797331,480.0
2005-02-18,6976.787813197314,6496.787813197314,480.0
2005-02-22,6834.06094643361,6354.06094643361,480.0
2005-02-23,6996.5362889529415,6516.5362889529415,480.0
2005-02-24,6999.171854015211,6519.171854015211,480.0
2005-02-25,7060.508552532079,6580.508552532079,480.0
2005-02-28,6987.1018377281825,6507.1018377281825,480.0
2005-03-01,7053.904232074822,6573.904232074822,480.0
2005-03-02,7036.882948383925,6556.882948383925,480.0
2005-03-03,7247.668285586038,6737.668285586038,510.0
2005-03-04,7266.315157113402,6756.315157113402,510.0
2005-03-07,7253.15309313314,6743.15309313314,510.0
2005-03-08,7138.217381035348,6628.217381035348,510.0
2005-03-09,7032.626945433199,6522.626945433199,510.0
2005-03-10,7026.590424826082,6516.590424826082,510.0
2005-03-11,6997.587639179413,6487.587639179413,510.0
2005-03-14,7048.292502183187,6538.292502183187,510.0
2005-03-15,6993.245306714267,6483.245306714267,510.0
2005-03-16,6914.24351446007,6404.24351446007,510.0
2005-03-17,7097.540431045912,6557.540431045912,540.0
2005-03-18,7074.259765190318,6534.259765190318,540.0
2005-03-21,7105.327727955395,6565.327727955395,540.0
2005-03-22,7031.099455915686,6491.099455915686,540.0
2005-03-23,7070.505048103491,6530.505048103491,540.0
2005-03-24,7078.857029690992,6538.857029690992,540.0
2005-03-28,7105.588613217831,6565.588613217831,540.0
2005-03-29,7015.373093923474,6475.373093923474,540.0
2005-03-30,7143.423226614442,6603.423226614442,540.0
2005-03-31,7092.668154520273,6552.668154520273,540.0
2005-04-01,7083.720916965355,6543.720916965355,540.0
2005-04-04,7323.482806971817,6903.482806971817,420.0
2005-04-05,7333.652441577143,6913.652441577143,420.0
2005-04-06,7380.980220824699,6960.980220824699,420.0
2005-04-07,7420.261949897428,7000.261949897428,420.0
2005-04-08,7388.254271238052,6968.254271238052,420.0
2005-04-11,7412.845912076625,6992.845912076625,420.0
2005-04-12,7473.47538966692,7053.47538966692,420.0
2005-04-13,7389.718429378639,6969.718429378639,420.0
2005-04-14,7325.489386067222,6905.489386067222,420.0
2005-04-15,7251.873219800422,6831.873219800422,420.0
2005-04-18,7451.723602513199,7151.723602513199,300.0
2005-04-19,7454.7759502378,7154.7759502378,300.0
2005-04-20,7369.790649573145,7069.790649573145,300.0
2005-04-21,7504.762794222917,7204.762794222917,300.0
2005-04-22,7462.378535951511,7162.378535951511,300.0
2005-04-25,7517.059244317293,7217.059244317293,300.0
2005-04-26,7484.476551112266,7184.476551112266,300.0
2005-04-27,7548.475740221111,7248.475740221111,300.0
2005-04-28,7464.4587948578865,7164.4587948578865,300.0
2005-04-29,7595.922117598568,7295.922117598568,300.0
2005-05-02,7623.479039307728,7323.479039307728,300.0
2005-05-03,7804.375919597016,7474.375919597016,330.0
2005-05-04,7817.604029740349,7487.604029740349,330.0
2005-05-05,7810.249854151786,7480.249854151786,330.0
2005-05-06,7763.332094179257,7433.332094179257,330.0
2005-05-09,7790.998177066781,7460.998177066781,330.0
2005-05-10,7721.492967467114,7391.492967467114,330.0
2005-05-11,7808.2306680573,7478.2306680573,330.0
2005-05-12,7752.034659137735,7422.034659137735,330.0
2005-05-13,7805.371100071357,7475.371100071357,330.0
2005-05-16,7906.791671968381,7576.791671968381,330.0
2005-05-17,8112.136135440118,7752.136135440118,360.0
2005-05-18,8165.274971823204,7805.274971823204,360.0
2005-05-19,8187.553940743369,7827.553940743369,360.0
2005-05-20,8214.912248445798,7854.9122484457985,360.0
2005-05-23,8219.080243540946,7859.080243540945,360.0
2005-05-24,8217.535183796179,7857.535183796178,360.0
2005-05-25,8227.807822936946,7867.807822936945,360.0
2005-05-26,8286.256113637624,7926.256113637625,360.0
2005-05-27,8231.7348043626,7871.734804362601,360.0
2005-05-31,8171.361262199438,7811.361262199438,360.0
2005-06-01,8198.459342050839,7838.459342050838,360.0
2005-06-02,8214.7427700918,7854.7427700918,360.0
2005-06-03,8353.812168856275,7963.812168856274,390.0
2005-06-06,8322.27295996232,7932.272959962321,390.0
2005-06-07,8347.37194999634,7957.371949996341,390.0
2005-06-08,8364.670184753413,7974.670184753412,390.0
2005-06-09,8433.314508914375,8043.3145089143745,390.0
2005-06-10,8387.151072206638,7997.151072206637,390.0
2005-06-13,8437.423458134992,8047.423458134993,390.0
2005-06-14,8433.631128224533,8043.631128224534,390.0
2005-06-15,8351.758818723494,7961.758818723495,390.0
2005-06-16,8362.460648894055,7972.460648894055,390.0
2005-06-17,8537.02929187437,8117.029291874371,420.0
2005-06-20,8571.38565660939,8151.38565660939,420.0
2005-06-21,8558.915824463766,8138.915824463766,420.0
2005-06-22,8579.49493242263,8159.494932422631,420.0
2005-06-23,8459.512274129516,8039.512274129516,420.0
2005-06-24,8381.083588636331,7961.08358863633,420.0
2005-06-27,8389.21697852901,7969.216978529009,420.0
2005-06-28,8463.287981524953,8043.287981524953,420.0
2005-06-29,8420.363715157177,8000.363715157177,420.0
2005-06-30,8355.584515591378,7935.584515591377,420.0
2005-07-01,8487.416630300784,8067.416630300784,420.0
2005-07-05,8558.759075545488,8138.759075545488,420.0
2005-07-06,8445.067896004037,8025.067896004037,420.0
2005-07-07,8427.073267952288,8007.073267952289,420.0
2005-07-08,8469.714367864424,8049.714367864423,420.0
2005-07-11,8479.028259730378,8059.028259730377,420.0
