date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2003-10-15,1330.0,1000.0,330.0,1000.0,0.0
2003-10-16,1327.1183874293447,997.1183874293447,330.0,1000.0,0.0
2003-10-17,1492.499889499689,1132.499889499689,360.0,1150.0,150.0
2003-10-20,1505.83685820595,1145.83685820595,360.0,1150.0,0.0
2003-10-21,1502.4858395441952,1142.4858395441952,360.0,1150.0,0.0
2003-10-22,1476.0307911558398,1116.0307911558398,360.0,1150.0,0.0
2003-10-23,1475.8634049628158,1115.8634049628158,360.0,1150.0,0.0
2003-10-24,1478.6029970713935,1118.6029970713935,360.0,1150.0,0.0
2003-10-27,1483.4283056599445,1123.4283056599445,360.0,1150.0,0.0
2003-10-28,1497.8453514155267,1137.8453514155267,360.0,1150.0,0.0
2003-10-29,1501.1015077630368,1141.1015077630368,360.0,1150.0,0.0
2003-10-30,1506.015445187934,1146.015445187934,360.0,1150.0,0.0
2003-10-31,1506.757413581179,1146.757413581179,360.0,1150.0,0.0
2003-11-03,1709.084059426532,1319.084059426532,390.0,1300.0,150.0
2003-11-04,1703.2617054568484,1313.2617054568484,390.0,1300.0,0.0
2003-11-05,1707.415545796039,1317.415545796039,390.0,1300.0,0.0
2003-11-06,1721.434756446806,1331.434756446806,390.0,1300.0,0.0
2003-11-07,1692.1357611015667,1302.1357611015667,390.0,1300.0,0.0
2003-11-10,1678.0018775055983,1288.0018775055983,390.0,1300.0,0.0
2003-11-11,1678.4192463651345,1288.4192463651345,390.0,1300.0,0.0
2003-11-12,1683.3528989792474,1293.3528989792474,390.0,1300.0,0.0
2003-11-13,1677.9619934679772,1287.9619934679772,390.0,1300.0,0.0
2003-11-14,1671.6882007785814,1281.6882007785814,390.0,1300.0,0.0
2003-11-17,1856.6048073028792,1436.6048073028792,420.0,1450.0,150.0
2003-11-18,1826.318733656431,1406.318733656431,420.0,1450.0,0.0
2003-11-19,1841.7280939783673,1421.7280939783673,420.0,1450.0,0.0
