date,equity,shares_value,cash_pool
2003-10-15,1330.0,1000.0,330.0
2003-10-16,1327.1181710619771,997.1181710619773,330.0
2003-10-17,1492.500212613739,1132.500212613739,360.0
2003-10-20,1505.8368084138665,1145.8368084138665,360.0
2003-10-21,1502.4856643628166,1142.4856643628166,360.0
2003-10-22,1476.0309866585712,1116.0309866585712,360.0
2003-10-23,1475.8636004362254,1115.8636004362254,360.0
2003-10-24,1478.6031930247161,1118.6031930247161,360.0
2003-10-27,1483.4286269379686,1123.4286269379686,360.0
2003-10-28,1497.8453019707124,1137.8453019707124,360.0
2003-10-29,1501.1015830831957,1141.1015830831957,360.0
2003-10-30,1506.015521093525,1146.015521093525,360.0
2003-10-31,1506.7571142698432,1146.7571142698432,360.0
2003-11-03,1709.0848974926691,1319.0848974926691,390.0
2003-11-04,1703.261828455992,1313.261828455992,390.0
2003-11-05,1707.415240406932,1317.415240406932,390.0
2003-11-06,1721.4345937750877,1331.4345937750877,390.0
2003-11-07,1692.1364493618473,1302.1364493618473,390.0
2003-11-10,1678.0018575273987,1288.0018575273987,390.0
2003-11-11,1678.419507734792,1288.419507734792,390.0
2003-11-12,1683.3537184571965,1293.3537184571965,390.0
2003-11-13,1677.962670286617,1287.962670286617,390.0
2003-11-14,1671.6885999222443,1281.6885999222443,390.0
2003-11-17,1856.6045054243502,1436.6045054243502,420.0
2003-11-18,1826.3192108429885,1406.3192108429885,420.0
2003-11-19,1841.7284178590144,1421.7284178590144,420.0
2003-11-20,1829.0748945029477,1409.0748945029477,420.0
2003-11-21,1834.0449060837711,1414.0449060837711,420.0
2003-11-24,1869.161047658716,1449.161047658716,420.0
2003-11-25,1867.3631719392115,1447.3631719392115,420.0
2003-11-26,1864.9055400051043,1444.9055400051043,420.0
2003-11-28,1862.221449677625,1442.221449677625,420.0
2003-12-01,1882.0619955543089,1462.0619955543089,420.0
2003-12-02,1869.8942581040228,1449.8942581040228,420.0
2003-12-03,2051.505212003075,1601.5052120030748,450.0
2003-12-04,2072.0586380391455,1622.0586380391455,450.0
2003-12-05,2050.3121252544643,1600.3121252544643,450.0
2003-12-08,2053.675471787491,1603.6754717874912,450.0
2003-12-09,2053.3272194826304,1603.3272194826304,450.0
2003-12-10,2056.3658230478186,1606.3658230478186,450.0
2003-12-11,2083.1124776429633,1633.1124776429633,450.0
2003-12-12,2082.8096647097627,1632.8096647097625,450.0
2003-12-15,2074.656007622207,1624.6560076222072,450.0
2003-12-16,2099.0260879020825,1649.0260879020827,450.0
2003-12-17,2284.5829662736833,1804.5829662736835,480.0
2003-12-18,2312.303082581747,1832.3030825817466,480.0
2003-12-19,2315.2956598750925,1835.2956598750927,480.0
2003-12-22,2317.6051244440205,1837.6051244440205,480.0
2003-12-23,2306.2003312246875,1826.2003312246875,480.0
2003-12-24,2284.761927634511,1804.7619276345108,480.0
2003-12-26,2289.8097190193002,1809.8097190193,480.0
2003-12-29,2312.917058823828,1832.917058823828,480.0
2003-12-30,2292.519264544547,1812.519264544547,480.0
2003-12-31,2298.355137691716,1818.3551376917162,480.0
2004-01-02,2290.95217576008,1810.95217576008,480.0
2004-01-05,2474.647635203869,1964.647635203869,510.0
2004-01-06,2484.8580133508976,1974.8580133508979,510.0
2004-01-07,2495.992623903126,1985.992623903126,510.0
2004-01-08,2487.206453801211,1977.2064538012107,510.0
2004-01-09,2462.2778250759357,1952.2778250759354,510.0
2004-01-12,2480.402127756836,1970.4021277568359,510.0
2004-01-13,2461.0869624697966,1951.0869624697966,510.0
2004-01-14,2506.016031907903,1996.016031907903,510.0
2004-01-15,2520.7159430120078,2010.7159430120078,510.0
2004-01-16,2532.7191778784454,2022.7191778784454,510.0
2004-01-20,2521.441498945955,2011.4414989459551,510.0
2004-01-21,2550.322868836864,2040.322868836864,510.0
2004-01-22,2536.862976927843,2026.8629769278432,510.0
2004-01-23,2557.0159505264437,2047.0159505264437,510.0
2004-01-26,2584.0403157174537,2074.0403157174537,510.0
2004-01-27,2553.043031506074,2043.043031506074,510.0
2004-01-28,2560.627533402037,2050.627533402037,510.0
2004-01-29,2568.343046426291,2058.343046426291,510.0
2004-01-30,2558.5928443414614,2048.5928443414614,510.0
2004-02-02,2587.0229769943107,2077.0229769943107,510.0
2004-02-03,2762.3191674896784,2222.3191674896784,540.0
2004-02-04,2740.854375512807,2200.854375512807,540.0
2004-02-05,2754.242290636533,2214.242290636533,540.0
2004-02-06,2750.799981798477,2210.799981798477,540.0
2004-02-09,2763.434473465773,2223.434473465773,540.0
2004-02-10,2775.492577854045,2235.492577854045,540.0
2004-02-11,2771.3992832065305,2231.3992832065305,540.0
2004-02-12,2770.766992743904,2230.766992743904,540.0
2004-02-13,2764.7779110682836,2224.7779110682836,540.0
2004-02-17,2946.015652235606,2376.015652235606,570.0
2004-02-18,2958.5148582042702,2388.5148582042702,570.0
2004-02-19,2958.8085770287835,2388.8085770287835,570.0
2004-02-20,2965.9001736434284,2395.9001736434284,570.0
2004-02-23,2958.2418899202585,2388.2418899202585,570.0
2004-02-24,2942.4660833990524,2372.4660833990524,570.0
2004-02-25,2964.974286710802,2394.974286710802,570.0
2004-02-26,2980.608991436982,2410.608991436982,570.0
2004-02-27,2966.4848838688004,2396.4848838688004,570.0
2004-03-01,2994.408513683769,2424.408513683769,570.0
2004-03-02,2992.1134678467874,2422.1134678467874,570.0
2004-03-03,3170.55785745898,2570.55785745898,600.0
2004-03-04,3164.1497024411055,2564.1497024411055,600.0
2004-03-05,3150.0040560132065,2550.0040560132065,600.0
2004-03-08,3111.2677939006735,2511.2677939006735,600.0
2004-03-09,3114.506272532222,2514.506272532222,600.0
2004-03-10,3071.781897241226,2471.781897241226,600.0
2004-03-11,3026.462420697929,2426.462420697929,600.0
2004-03-12,3088.9523815234224,2488.9523815234224,600.0
2004-03-15,3057.705053518525,2457.705053518525,600.0
2004-03-16,3070.7447358714494,2470.7447358714494,600.0
2004-03-17,3289.616336175542,2809.616336175542,480.0
2004-03-18,3263.9200176557647,2783.9200176557647,480.0
2004-03-19,3235.3936047439524,2755.3936047439524,480.0
2004-03-22,3203.065824621825,2723.065824621825,480.0
2004-03-23,3195.4934408872655,2715.4934408872655,480.0
2004-03-24,3210.581321767705,2730.581321767705,480.0
2004-03-25,3229.770329793828,2749.770329793828,480.0
2004-03-26,3206.1129535062278,2726.1129535062278,480.0
2004-03-29,3224.9146337655498,2744.9146337655498,480.0
2004-03-30,3227.4455506674885,2747.4455506674885,480.0
2004-03-31,3238.61086935704,2758.61086935704,480.0
2004-04-01,3250.3222029943877,2770.3222029943877,480.0
2004-04-02,3285.781052647171,2805.781052647171,480.0
2004-04-05,3481.4145222495204,2971.4145222495204,510.0
2004-04-06,3464.890450629977,2954.890450629977,510.0
2004-04-07,3457.271323473155,2947.271323473155,510.0
2004-04-08,3484.909920117388,2974.909920117388,510.0
2004-04-12,3499.542981881232,2989.542981881232,510.0
2004-04-13,3474.50090046864,2964.50090046864,510.0
2004-04-14,3499.454737375062,2989.454737375062,510.0
2004-04-15,3487.0105346887362,2977.0105346887362,510.0
2004-04-16,3513.7337387080247,3003.7337387080247,510.0
2004-04-19,3693.9570304662334,3153.9570304662334,540.0
2004-04-20,3665.237142322134,3125.237142322134,540.0
2004-04-21,3694.069639141344,3154.069639141344,540.0
2004-04-22,3726.0647310457357,3186.0647310457357,540.0
2004-04-23,3741.142844548235,3201.142844548235,540.0
2004-04-26,3718.3198677148503,3178.3198677148503,540.0
2004-04-27,3721.8094847119523,3181.8094847119523,540.0
2004-04-28,3733.8172546176047,3193.8172546176047,540.0
2004-04-29,3698.8810183577216,3158.8810183577216,540.0
2004-04-30,3672.479707395933,3132.479707395933,540.0
2004-05-03,3889.9997771595063,3469.9997771595063,420.0
2004-05-04,3884.184205277118,3464.184205277118,420.0
2004-05-05,3910.001455687836,3490.001455687836,420.0
2004-05-06,3890.3180862735367,3470.3180862735367,420.0
2004-05-07,3849.755371095652,3429.755371095652,420.0
2004-05-10,3833.891470285131,3413.891470285131,420.0
2004-05-11,3850.627151403027,3430.627151403027,420.0
2004-05-12,3873.753349373658,3453.753349373658,420.0
2004-05-13,3875.23797000519,3455.23797000519,420.0
2004-05-14,3862.1732816290037,3442.1732816290037,420.0
2004-05-17,4032.9363350386016,3732.9363350386016,300.0
2004-05-18,4038.314352982457,3738.314352982457,300.0
