date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2003-10-15,1450.0,1000.0,450.0,1000.0,0.0
2003-10-16,1447.1186055347061,997.118605534706,450.0,1000.0,0.0
2003-10-17,1612.4996715823618,1132.4996715823618,480.0,1150.0,150.0
2003-10-20,1625.8376435353216,1145.8376435353216,480.0,1150.0,0.0
2003-10-21,1622.485872797505,1142.485872797505,480.0,1150.0,0.0
2003-10-22,1596.0306967558186,1116.0306967558186,480.0,1150.0,0.0
2003-10-23,1595.8629379660836,1115.8629379660836,480.0,1150.0,0.0
2003-10-24,1598.6037706299517,1118.6037706299517,480.0,1150.0,0.0
2003-10-27,1603.428210958846,1123.428210958846,480.0,1150.0,0.0
2003-10-28,1617.8461312677093,1137.8461312677093,480.0,1150.0,0.0
2003-10-29,1621.101541736394,1141.101541736394,480.0,1150.0,0.0
2003-10-30,1626.0161040785824,1146.0161040785824,480.0,1150.0,0.0
2003-10-31,1626.757197909925,1146.757197909925,480.0,1150.0,0.0
2003-11-03,1829.0843494915055,1319.0843494915055,510.0,1300.0,150.0
2003-11-04,1823.2628497391152,1313.2628497391152,510.0,1300.0,0.0
2003-11-05,1827.4154067167583,1317.4154067167583,510.0,1300.0,0.0
2003-11-06,1841.4341871087638,1331.4341871087638,510.0,1300.0,0.0
2003-11-07,1812.1361890154444,1302.1361890154444,510.0,1300.0,0.0
2003-11-10,1798.0018795125509,1288.0018795125509,510.0,1300.0,0.0
2003-11-11,1798.4199517787292,1288.4199517787292,510.0,1300.0,0.0
2003-11-12,1803.3534627233855,1293.3534627233855,510.0,1300.0,0.0
2003-11-13,1797.9618595474071,1287.9618595474071,510.0,1300.0,0.0
2003-11-14,1791.6882035185454,1281.6882035185454,510.0,1300.0,0.0
2003-11-17,1976.605371813078,1436.605371813078,540.0,1450.0,150.0
2003-11-18,1946.318511949327,1406.318511949327,540.0,1450.0,0.0
2003-11-19,1961.7286532668306,1421.7286532668306,540.0,1450.0,0.0
2003-11-20,1949.0745055980117,1409.0745055980117,540.0,1450.0,0.0
2003-11-21,1954.0449851695666,1414.0449851695666,540.0,1450.0,0.0
2003-11-24,1989.1611287085143,1449.1611287085143,540.0,1450.0,0.0
2003-11-25,1987.3624688809832,1447.3624688809832,540.0,1450.0,0.0
2003-11-26,1984.905152888812,1444.905152888812,540.0,1450.0,0.0
2003-11-28,1982.220752492884,1442.220752492884,540.0,1450.0,0.0
2003-12-01,2002.061921301755,1462.061921301755,540.0,1450.0,0.0
2003-12-02,1989.8949596535672,1449.8949596535672,540.0,1450.0,0.0
2003-12-03,2171.505604250768,1601.505604250768,570.0,1600.0,150.0
2003-12-04,2192.0585146054946,1622.0585146054948,570.0,1600.0,0.0
2003-12-05,2170.3116583250617,1600.3116583250617,570.0,1600.0,0.0
2003-12-08,2173.6763768088167,1603.6763768088167,570.0,1600.0,0.0
2003-12-09,2173.327268573377,1603.3272685733768,570.0,1600.0,0.0
2003-12-10,2176.3662178730137,1606.3662178730135,570.0,1600.0,0.0
2003-12-11,2203.1121801562945,1633.1121801562945,570.0,1600.0,0.0
2003-12-12,2202.809194577919,1632.809194577919,570.0,1600.0,0.0
2003-12-15,2194.655883990905,1624.6558839909048,570.0,1600.0,0.0
2003-12-16,2219.025963327414,1649.025963327414,570.0,1600.0,0.0
2003-12-17,2404.5831920379956,1804.5831920379956,600.0,1750.0,150.0
2003-12-18,2432.3031179017134,1832.3031179017137,600.0,1750.0,0.0
2003-12-19,2435.2960804636787,1835.2960804636787,600.0,1750.0,0.0
2003-12-22,2437.605542888879,1837.605542888879,600.0,1750.0,0.0
2003-12-23,2426.2013174335593,1826.2013174335593,600.0,1750.0,0.0
2003-12-24,2404.762338737725,1804.7623387377248,600.0,1750.0,0.0
2003-12-26,2409.810508088685,1809.8105080886849,600.0,1750.0,0.0
2003-12-29,2432.9163403757,1832.9163403757004,600.0,1750.0,0.0
2003-12-30,2412.5185542257486,1812.5185542257489,600.0,1750.0,0.0
2003-12-31,2418.354425757884,1818.3544257578844,600.0,1750.0,0.0
2004-01-02,2410.952768877356,1810.9527688773562,600.0,1750.0,0.0
2004-01-05,2594.6471168548833,1964.6471168548833,630.0,1900.0,150.0
2004-01-06,2604.8586960806238,1974.8586960806238,630.0,1900.0,0.0
2004-01-07,2615.9921025502063,1985.9921025502065,630.0,1900.0,0.0
2004-01-08,2607.205538538442,1977.2055385384422,630.0,1900.0,0.0
2004-01-09,2582.278699366234,1952.2786993662342,630.0,1900.0,0.0
2004-01-12,2600.402208711428,1970.4022087114279,630.0,1900.0,0.0
2004-01-13,2581.0876369286298,1951.0876369286295,630.0,1900.0,0.0
2004-01-14,2626.0169178455862,1996.016917845586,630.0,1900.0,0.0
2004-01-15,2640.7160256229054,2010.7160256229054,630.0,1900.0,0.0
2004-01-16,2652.7198680920583,2022.7198680920583,630.0,1900.0,0.0
2004-01-20,2641.441178997854,2011.441178997854,630.0,1900.0,0.0
2004-01-21,2670.322750076107,2040.3227500761066,630.0,1900.0,0.0
2004-01-22,2656.8630602021467,2026.863060202147,630.0,1900.0,0.0
2004-01-23,2677.017261285535,2047.0172612855347,630.0,1900.0,0.0
2004-01-26,2704.04060549754,2074.04060549754,630.0,1900.0,0.0
2004-01-27,2673.043522647449,2043.0435226474492,630.0,1900.0,0.0
2004-01-28,2680.627617652715,2050.627617652715,630.0,1900.0,0.0
2004-01-29,2688.343338289022,2058.343338289022,630.0,1900.0,0.0
2004-01-30,2678.593134821663,2048.593134821663,630.0,1900.0,0.0
2004-02-02,2707.0232706064376,2077.0232706064376,630.0,1900.0,0.0
2004-02-03,2882.3192526315643,2222.3192526315643,660.0,2050.0,150.0
2004-02-04,2860.8540140630657,2200.8540140630657,660.0,2050.0,0.0
2004-02-05,2874.2419282957094,2214.2419282957094,660.0,2050.0,0.0
2004-02-06,2870.801391070502,2210.801391070502,660.0,2050.0,0.0
2004-02-09,2883.4345586503887,2223.4345586503887,660.0,2050.0,0.0
2004-02-10,2895.4926635006327,2235.4926635006327,660.0,2050.0,0.0
2004-02-11,2891.3995884052138,2231.3995884052138,660.0,2050.0,0.0
2004-02-12,2890.7681804311337,2230.7681804311337,660.0,2050.0,0.0
2004-02-13,2884.7782171498557,2224.7782171498557,660.0,2050.0,0.0
2004-02-17,3066.015737519112,2376.015737519112,690.0,2200.0,150.0
