,rainy_prod,rainy_turbo,rainy_prod_roll3,rainy_turbo_roll3
2003-10-17,0.0,0.0,0.0,0.0
2003-11-03,0.0,0.0,0.0,0.0
2003-11-17,0.0,0.0,0.0,0.0
2003-12-03,0.0,0.0,0.0,0.0
2003-12-17,0.0,0.0,0.0,0.0
2004-01-05,0.0,0.0,0.0,0.0
2004-02-03,0.0,0.0,0.0,0.0
2004-02-17,0.0,0.0,0.0,0.0
2004-03-03,0.0,0.0,0.0,0.0
2004-03-17,150.0,180.0,50.0,60.0
2004-04-05,0.0,0.0,50.0,60.0
2004-04-19,0.0,0.0,50.0,60.0
2004-05-03,150.0,180.0,50.0,60.0
2004-05-17,150.0,180.0,100.0,120.0
2004-06-03,0.0,0.0,100.0,120.0
2004-06-17,0.0,0.0,50.0,60.0
2004-07-19,150.0,180.0,50.0,60.0
2004-08-03,150.0,180.0,100.0,120.0
2004-08-17,0.0,0.0,100.0,120.0
2004-09-03,0.0,0.0,50.0,60.0
2004-09-17,0.0,0.0,0.0,0.0
2004-10-04,0.0,0.0,0.0,0.0
2004-10-18,0.0,0.0,0.0,0.0
2004-11-03,0.0,0.0,0.0,0.0
2004-11-17,0.0,0.0,0.0,0.0
2004-12-03,0.0,0.0,0.0,0.0
2004-12-17,0.0,0.0,0.0,0.0
2005-01-03,0.0,0.0,0.0,0.0
2005-02-03,0.0,0.0,0.0,0.0
2005-02-17,0.0,0.0,0.0,0.0
2005-03-03,0.0,0.0,0.0,0.0
2005-03-17,0.0,0.0,0.0,0.0
2005-04-04,150.0,150.0,50.0,50.0
2005-04-18,0.0,0.0,50.0,50.0
2005-05-03,150.0,150.0,100.0,100.0
2005-05-17,0.0,0.0,50.0,50.0
2005-06-03,0.0,0.0,50.0,50.0
2005-06-17,0.0,0.0,0.0,0.0
2005-07-18,0.0,0.0,0.0,0.0
2005-08-03,0.0,0.0,0.0,0.0
2005-08-17,0.0,0.0,0.0,0.0
2005-09-19,0.0,0.0,0.0,0.0
2005-10-03,150.0,150.0,50.0,50.0
2005-10-17,150.0,150.0,100.0,100.0
2005-11-03,0.0,0.0,100.0,100.0
2005-11-17,0.0,0.0,50.0,50.0
2005-12-05,0.0,0.0,0.0,0.0
2005-12-19,0.0,0.0,0.0,0.0
2006-01-03,0.0,0.0,0.0,0.0
2006-01-17,0.0,0.0,0.0,0.0
2006-02-03,150.0,150.0,50.0,50.0
2006-02-17,0.0,0.0,50.0,50.0
2006-03-03,0.0,0.0,50.0,50.0
2006-03-17,0.0,0.0,0.0,0.0
2006-04-03,0.0,0.0,0.0,0.0
2006-04-17,150.0,150.0,50.0,50.0
2006-05-03,0.0,0.0,50.0,50.0
2006-05-17,0.0,0.0,50.0,50.0
2006-06-05,150.0,180.0,50.0,60.0
2006-06-19,150.0,180.0,100.0,120.0
2006-07-03,0.0,0.0,100.0,120.0
2006-07-17,0.0,0.0,50.0,60.0
2006-08-03,0.0,0.0,0.0,0.0
2006-08-17,0.0,0.0,0.0,0.0
2006-09-18,0.0,0.0,0.0,0.0
2006-10-03,0.0,0.0,0.0,0.0
