date,rsi_sma,price,amount,regime,vix,threshold,cash_before,cash_after
2004-03-17,40.17371057200085,101.05951265147324,180,NEUTRAL,18.110000610351562,45,720.0,540.0
2004-05-17,38.65758576064008,102.01574820181892,180,NEUTRAL,19.959999084472656,45,660.0,480.0
2004-07-19,40.586694848773895,96.89087105129718,180,NEUTRAL,15.170000076293945,45,570.0,390.0
2004-08-03,43.86136286634974,97.61297681921197,180,NEUTRAL,16.030000686645508,45,420.0,240.0
2004-08-17,38.9905773999017,95.67806761819236,180,NEUTRAL,17.020000457763672,45,270.0,90.0
2005-04-04,40.989896683414024,98.21366244810405,150,NEUTRAL,14.109999656677246,45,510.0,360.0
2005-04-18,41.237925957129484,97.47723534696493,180,NEUTRAL,16.559999465942383,45,390.0,210.0
2005-10-17,34.0335020652176,96.76480012621987,150,NEUTRAL,14.670000076293945,45,510.0,360.0
2006-06-19,38.860091171030504,96.74019036603356,180,NEUTRAL,17.829999923706055,45,840.0,660.0
2007-03-05,39.249699501843736,114.31665344764585,180,NEUTRAL,19.6299991607666,45,1110.0,930.0
2007-03-19,42.49617603854161,116.79421074126658,150,NEUTRAL,14.59000015258789,45,960.0,810.0
2007-08-03,35.82438107491588,107.57001905570088,210,NEUTRAL,25.15999984741211,45,1080.0,870.0
2007-08-17,39.72836532534295,109.16644900331349,210,NEUTRAL,29.989999771118164,45,900.0,690.0
2007-11-19,38.492241804820246,101.03586164983784,210,NEUTRAL,26.010000228881836,45,840.0,630.0
2007-12-03,44.72744428907604,105.4683694975346,180,NEUTRAL,23.610000610351562,45,660.0,480.0
2008-01-17,35.68882011559672,98.67197862385677,210,BEAR,28.459999084472656,48,570.0,360.0
2008-02-04,43.42274050880061,98.37491601099656,210,BEAR,25.989999771118164,48,390.0,180.0
2008-03-17,38.86741901900215,91.64413256958139,210,BEAR,32.2400016784668,48,240.0,30.0
2008-06-17,41.443495336573484,99.53754914683603,180,NEUTRAL,21.1299991607666,45,210.0,30.0
2008-09-17,41.07331596631319,90.48562289399979,210,BEAR,36.220001220703125,48,210.0,0.0
2009-02-03,45.321906770050525,75.91879141260665,210,BEAR,43.060001373291016,48,240.0,30.0
2010-02-03,40.50860889901849,87.75301547757506,180,BULL,21.600000381469727,42,690.0,510.0
2010-05-17,43.01990151391984,88.93152208048512,210,NEUTRAL,30.84000015258789,45,720.0,510.0
2010-06-03,39.511698559231526,87.02188427736694,210,NEUTRAL,29.459999084472656,45,540.0,330.0
2011-06-17,36.46139323487356,96.55889231038492,180,NEUTRAL,21.850000381469727,45,1020.0,840.0
2011-08-03,41.586806674980394,93.94570990363805,180,NEUTRAL,23.3799991607666,45,900.0,720.0
2011-08-17,37.43060095190215,91.07978766591017,210,BEAR,31.579999923706055,48,750.0,540.0
2011-10-03,43.22445790374335,89.84999182015711,210,BEAR,45.45000076293945,48,600.0,390.0
2012-05-17,34.14804966886559,104.16361626881,180,NEUTRAL,24.489999771118164,45,840.0,660.0
2012-06-04,36.38661960395364,105.19087690974702,210,NEUTRAL,26.1200008392334,45,690.0,480.0
2012-11-05,41.275280643611886,112.28671391665551,180,NEUTRAL,18.420000076293945,45,750.0,570.0
2012-11-19,33.29358353492997,110.64684543328697,180,NEUTRAL,15.239999771118164,45,600.0,420.0
2013-09-03,41.06195584903958,140.2439178610387,180,BULL,16.610000610351562,42,960.0,780.0
2014-02-03,37.63837741378853,158.2463298110188,180,NEUTRAL,21.440000534057617,45,1080.0,900.0
2014-10-03,43.264672732140646,181.5913053342641,150,NEUTRAL,14.550000190734863,45,1350.0,1200.0
2014-10-17,33.362385999777466,175.7919427400612,180,NEUTRAL,21.989999771118164,45,1230.0,1050.0
2014-12-17,43.40124339312569,194.41679590175028,180,NEUTRAL,19.440000534057617,45,1170.0,990.0
2015-09-03,39.356472090464464,218.060430285875,210,BEAR,25.610000610351562,48,1410.0,1200.0
2015-10-05,43.25045914937271,220.8235813480081,180,NEUTRAL,19.540000915527344,45,1260.0,1080.0
2016-02-03,44.323408274001814,228.63412440522114,180,BEAR,21.649999618530273,48,1290.0,1110.0
